"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",50474,"Taco Bell","Phoenix","AZ","85016",33.4951941,-112.0285876,"1","Restaurants, Breakfast & Brunch, Mexican, Tacos, Tex-Mex, Fast Food"
"2",85149,"Dairy Queen","Las Vegas","NV","89146",36.1250311,-115.2256202,"0","Fast Food, Food, Restaurants, Ice Cream & Frozen Yogurt"
"3",59655,"Subway","Pittsburgh","PA","15219",40.4428627,-79.996412,"1","Fast Food, Sandwiches, Restaurants"
"4",120464,"Wendy's","Madison","WI","53716",43.062872,-89.308293,"1","Fast Food, Sandwiches, Restaurants, Burgers"
"5",44971,"Wendy's","Mississauga","ON","L5K 2R8",43.5283821484,-79.6750115673,"1","Restaurants, Burgers, Fast Food"
"6",87016,"Five Guys","Phoenix","AZ","85042",33.3786989221,-112.0310130715,"1","Fast Food, Restaurants, Burgers, Food"
"7",49334,"Pizza Hut","Phoenix","AZ","85006",33.479506,-112.046931,"1","Restaurants, Italian, Pizza, Fast Food, Chicken Wings"
"8",87154,"Jersey Mike's Subs","Middleton","WI","53562",43.0914253964,-89.527287314,"1","Fast Food, Restaurants, Delis, Sandwiches, Wraps"
"9",53291,"Church's Chicken","Peoria","AZ","85345",33.5788804,-112.2350045,"0","Restaurants, Fast Food, Chicken Wings"
"10",18143,"Jimmy John's","Wexford","PA","15090",40.6320562,-80.0585513,"1","Fast Food, Sandwiches, Restaurants, Food, Food Delivery Services, Delis"
"11",157896,"Golden Flower Cafe","Richmond Hill","ON","L4B 2Y1",43.8611126,-79.394803,"1","Chinese, Restaurants, Fast Food"
"12",96427,"Steak ’n Shake","Brunswick","OH","44212",41.2378014833,-81.8060022,"1","American (New), Burgers, Diners, Restaurants, Fast Food, Breakfast & Brunch, American (Traditional)"
"13",161128,"Arbys Restaurant Higley Rd","Mesa","AZ","85205",33.4502623,-111.718404,"1","Sandwiches, Fast Food, Restaurants"
"14",34212,"Fernando's","Pittsburgh","PA","15222",40.4437123888,-79.9953632967,"0","Fast Food, Sandwiches, Restaurants"
"15",23517,"Pita Pit","Indian Trail","NC","28079",35.0631169,-80.633164,"1","Mediterranean, Restaurants, Breakfast & Brunch, Fast Food, Middle Eastern, Sandwiches"
"16",82006,"Chipotle Mexican Grill","Las Vegas","NV","89109",36.120095,-115.171769,"1","Fast Food, Mexican, Restaurants"
"17",63752,"Subway","Surprise","AZ","85374",33.6388214,-112.3997883,"1","Sandwiches, Fast Food, Restaurants"
"18",34777,"Noobox","Montreal","QC","H2Z 2A7",45.5043641,-73.5607048,"1","Restaurants, Fast Food, Noodles"
"19",37063,"Steak ’n Shake","Willoughby","OH","44094",41.6234487,-81.4392608,"1","Restaurants, Fast Food, Burgers, American (Traditional), American (New), Breakfast & Brunch, Diners"
"20",153313,"Nathan's Famous","Champlain","NY","12919",44.9811404098,-73.458718434,"1","Convenience Stores, Hot Dogs, Gas Stations, Burgers, Automotive, Food Stands, Restaurants, Comfort Food, Food, Fast Food"
"21",86248,"Waffle House","Pineville","NC","28134",35.087963,-80.858488,"1","Diners, American (Traditional), Restaurants, Breakfast & Brunch, Waffles, American (New), Fast Food, Burgers"
"22",184537,"Subway","Sun City","AZ","85351",33.60136,-112.287538,"1","Sandwiches, Fast Food, Restaurants"
"23",123943,"Panda Express","Tempe","AZ","85282",33.3831468,-111.9647254,"0","Restaurants, Fast Food, Chinese"
"24",42748,"Roberto's Taco Shop","Las Vegas","NV","89169",36.1410796647,-115.1193113918,"1","Mexican, Fast Food, Restaurants"
"25",161686,"KFC","Mississauga","ON","L4T 2T5",43.7169205,-79.6354071,"1","Chicken Wings, Fast Food, Restaurants, Chicken Shop"
