"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",38349,"La Creperie","Las Vegas","NV","89109",36.1125266402,-115.1713514328,"1","French, Restaurants, Creperies"
"2",7904,"Chez ma Grosse Truie Chérie","Montréal","QC","H2K 1T5",45.5260887,-73.5595135,"1","Restaurants, Canadian (New), French, Brasseries"
"3",164561,"Mimi's Cafe","Glendale","AZ","85308",33.6386542,-112.219354,"1","Nightlife, Restaurants, American (Traditional), Wine Bars, Bars, Breakfast & Brunch, French"
"4",6521,"Chez Cora","Montréal","QC","H1N 1A1",45.5725678,-73.5486336,"1","French, Restaurants"
"5",150667,"Lardon Restaurant","Toronto","ON","M6R 2M9",43.6508821,-79.4508492,"0","Restaurants, French, Italian"
"6",56935,"Le Gourmand","Toronto","ON","M5V 3S6",43.6481229,-79.3966409,"1","Restaurants, Desserts, Sandwiches, Cafes, French, Coffee & Tea, Food, Breakfast & Brunch"
"7",116586,"Jules Cafe Patisserie","Toronto","ON","M4S 2M5",43.7041655,-79.3882122,"1","Bakeries, Food, Mediterranean, French, Restaurants"
"8",13187,"Lumiere French Kitchen","Charlotte","NC","28207",35.19508,-80.825792,"0","French, Restaurants"
"9",70359,"Les Cavistes","Montréal","QC","H3L 1T5",45.545757,-73.666302,"1","Sports Bars, Seafood, French, Bars, Nightlife, Bistros, Wine Bars, Canadian (New), Restaurants"
"10",88859,"La Station des Sports","Montréal","QC","H3H 1M6",45.4917988,-73.5818589,"1","Restaurants, Bars, Burgers, French, Nightlife, Sports Bars, Barbeque"
"11",138536,"Le Diner Frunchroom","Montréal","QC","H3G 1T7",45.4950906376,-73.5741431674,"0","Diners, Nightlife, Italian, Bars, French, Restaurants"
"12",17430,"La Raclette","Montréal","QC","H2J 1P7",45.5295503804,-73.5827571103,"1","German, Modern European, Restaurants, Breakfast & Brunch, Fondue, French"
"13",153384,"Arousse","Sainte-Thérèse","QC","J7E 1W9",45.6397087,-73.8418121,"0","Restaurants, French, Middle Eastern, Lebanese"
"14",40263,"The Crepe Club","Phoenix","AZ","85016",33.5104431,-112.0287274,"0","Food, Sandwiches, Party & Event Planning, Caterers, Restaurants, French, Desserts, Creperies, Juice Bars & Smoothies, Event Planning & Services, Breakfast & Brunch"
"15",110161,"French Grocery","Phoenix","AZ","85013",33.5164493875,-112.0821531733,"0","Restaurants, Bars, Wine Bars, Bakeries, Coffee & Tea, Breakfast & Brunch, Food, French, Macarons, Nightlife, Grocery, Specialty Food, Beer, Wine & Spirits"
"16",157001,"La Madeleine French Bakery & Café","Chandler","AZ","85226",33.3053280086,-111.9046638357,"1","Food, Restaurants, French, Sandwiches, Desserts"
"17",176147,"Parc Brasserie","Calgary","AB","T2R 0S9",51.0381165,-114.0803113,"0","French, Brasseries, Restaurants"
"18",146865,"La Colombe","Montréal","QC","H2L 1A9",45.5223151,-73.5743252,"1","French, Restaurants"
"19",79717,"Île Flottante","Montréal","QC","H2T 2L3",45.5236393,-73.6007158,"1","Restaurants, Diners, Modern European, French"
"20",73605,"Bistro Lustucru","Montréal","QC","H2V 4G3",45.5204031,-73.5967501,"1","French, Restaurants"
"21",120433,"Royale","Calgary","AB","T2S 0B7",51.0380986,-114.0786792,"1","Desserts, Brasseries, Restaurants, Food, Breakfast & Brunch, French"
"22",158392,"Bistro A Champlain","Sainte-Marguerite-Esterel","QC","J0T 1L0",46.0312971,-74.056695,"1","Restaurants, French"
