"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",59308,"Toad N Turtle Pubhouse & Grill","Calgary","AB","T2Z",50.9319378,-113.9616098,"1","Bars, Pubs, Gastropubs, Nightlife, Restaurants, Canadian (New)"
"2",88804,"Circles Grill and Market","Charlotte","NC","28277",35.0393909574,-80.7950710445,"0","Burgers, Italian, Beauty & Spas, Wine Bars, Barbers, Peruvian, American (Traditional), Bars, Gastropubs, Diners, Salad, Specialty Food, Restaurants, American (New), Nightlife, Cafes, Food"
"3",48146,"Morgane Bistro & Pub","Saint-Jean-sur-Richelieu","QC","J3B 6W2",45.3101617,-73.2524164,"1","Pubs, Gastropubs, Restaurants, Nightlife, Bars"
"4",171482,"The 3 Brewers","Toronto","ON","M5B 1N8",43.6555236,-79.3802224,"1","Breweries, Bars, Pubs, Food, Restaurants, Gastropubs, Burgers, Nightlife"
"5",182686,"Fionn MacCool's Irish Pub","Brampton","ON","L6Y 5L8",43.658148,-79.723291,"1","Pubs, Nightlife, Beer, Wine & Spirits, Food, Irish Pub, Restaurants, Gastropubs, Bars"
"6",177875,"Rott n' Grapes Uptown","Phoenix","AZ","85012",33.5071180897,-112.0742981546,"1","Lounges, Gastropubs, Sports Bars, Breakfast & Brunch, Bars, Wine Bars, Nightlife, Restaurants, Pubs, Italian, Beer, Wine & Spirits, Food, Tapas/Small Plates, Beer Bar"
"7",175912,"6th Street Gastro Pub & Pizza","Toronto","ON","M9A 1B8",43.6485461,-79.52892,"0","Lounges, Nightlife, Bars, Pizza, Restaurants, Gastropubs, Southern, Tex-Mex, Pubs"
"8",70952,"Red Lantern Kitchen & Bar","Cleveland","OH","44111",41.4513105983,-81.8186925352,"1","Restaurants, Gastropubs"
"9",146524,"P.J. Clarke's New York Chophouse","Las Vegas","NV","89109",36.118399,-115.172945,"0","Steakhouses, Gastropubs, Seafood, American (New), Venues & Event Spaces, Beer, Wine & Spirits, Restaurants, Food, Event Planning & Services"
"10",59034,"Local 8th Avenue","Calgary","AB","T2P 1C1",51.0456856,-114.0686148,"1","Canadian (New), Gastropubs, Bars, Nightlife, Restaurants, Pubs"
"11",87468,"Ground Control At Verrado","Buckeye","AZ","85396",33.4959165,-112.5128746,"0","Cafes, Gastropubs, Restaurants"
"12",100565,"Harvey's in Cornelius","Cornelius","NC","28031",35.4794726,-80.8931981,"1","American (Traditional), Restaurants, Pubs, Gastropubs, Event Planning & Services, Caterers, Nightlife, Bars"
"13",41606,"Eastland Inn","Berea","OH","44017",41.362061,-81.8444905,"1","American (New), Gastropubs, Dive Bars, Burgers, Nightlife, Pubs, Karaoke, Bars, Diners, Restaurants, American (Traditional)"
"14",4777,"MadisonTap","Madison","WI","53703",43.0814961,-89.3736962,"1","Restaurants, Gastropubs, Beer Bar, Beer Gardens, Nightlife, Bars, Food, Breweries, Pubs"
"15",153845,"Tom's Urban","Las Vegas","NV","89109",36.102928,-115.173847,"1","Gastropubs, Nightlife, Restaurants, American (New), Bars, Sports Bars"
"16",46656,"Rudy's Pub","Cleveland Heights","OH","44118",41.5001579,-81.5651076,"1","American (Traditional), Bars, Restaurants, Pubs, Nightlife, Gastropubs"
"17",165777,"The Hub Champaign","Champaign","IL","61820",40.1111448,-88.2391289,"1","Restaurants, American (Traditional), Bars, Sports Bars, Dance Clubs, Nightlife, Gastropubs"
"18",138990,"Spitfire Grill & Tavern","Tempe","AZ","85284",33.3346157829,-111.9120597839,"0","Bars, Gastropubs, Pubs, Restaurants, American (New), Nightlife"
"19",30901,"The Wicket Bar","Toronto","ON","M6P 1A6",43.6554790884,-79.4565081126,"1","Beer, Wine & Spirits, Sports Bars, Gastropubs, Restaurants, Bars, Food, Nightlife, Pubs, Venues & Event Spaces, Event Planning & Services"
"20",55596,"The Red Zone Madison","Madison","WI","53715",43.067954,-89.406295,"1","Nightlife, Gastropubs, Sports Bars, Bars, Music Venues, Arts & Entertainment, Restaurants, American (Traditional)"
"21",147426,"The Glen Tavern","Halton Hills","ON","L7G 3S9",43.669632,-79.926119,"1","Gastropubs, Restaurants"
"22",159353,"Pub l'Île Noire","Montréal","QC","H2X 3K4",45.515216,-73.5633803,"1","Nightlife, Bars, Lounges, Cocktail Bars, Pubs, Restaurants, Gastropubs"
"23",81603,"Pub BreWskey","Montréal","QC","H2Y 1H3",45.508949,-73.55153,"1","Brasseries, Gastropubs, Bars, Food, Breweries, Pubs, Restaurants, Nightlife"
"24",188026,"Standard Tap Public House","Airdrie","AB","T4B 3K3",51.2889626757,-114.0148311036,"0","Restaurants, Gastropubs, Food, Beer, Wine & Spirits"
"25",21040,"Centurion","Phoenix","AZ","85003",33.4588497,-112.0771341,"0","Gastropubs, Tapas/Small Plates, Italian, Restaurants, French, Pizza"
"26",162751,"Dierks Bentley's Whiskey Row","Scottsdale","AZ","85251",33.501037,-111.922358,"1","American (Traditional), Breakfast & Brunch, Food, Whiskey Bars, Desserts, Restaurants, Bars, Country Dance Halls, Arts & Entertainment, Nightlife, Music Venues, American (New), Gastropubs"
"27",90392,"Bar Hop","Toronto","ON","M5V 2H3",43.6491064981,-79.3934956921,"1","Bars, Pubs, Gastropubs, Restaurants, Nightlife"
"28",113429,"Nonna Urban Eatery","Scottsdale","AZ","85251",33.4932738,-111.9249317,"1","Nightlife, Bars, Italian, Asian Fusion, Tapas/Small Plates, French, Restaurants, Gastropubs, Latin American, Wine Bars"
"29",113171,"The Guild","Calgary","AB","T2P 1B5",51.046049,-114.0661432,"1","Steakhouses, Diners, Gastropubs, Local Flavor, Restaurants, Cafes"
"30",184866,"The Irv Gastro Pub","Toronto","ON","M5A",43.6635399,-79.3705826,"1","Restaurants, Gastropubs, Nightlife, Bars, Pubs, Burgers"
"31",123081,"Taverne Gaspar","Montréal","QC","H2Y 1J1",45.506283,-73.552868,"1","Food, Gastropubs, Restaurants, Beer, Wine & Spirits"
"32",192342,"Grayhawk Beer Co","Scottsdale","AZ","85255",33.6762908,-111.9231242,"0","Salad, Bars, Sports Bars, Beer Bar, Nightlife, Breakfast & Brunch, Food, Burgers, Desserts, Gastropubs, American (New), Restaurants"
"33",51946,"Public School 702","Las Vegas","NV","89135",36.151269,-115.332772,"1","Gastropubs, Bars, American (New), Restaurants, Nightlife"
"34",97870,"Indie Ale House","Toronto","ON","M6P 1Y9",43.6654413783,-79.4652382136,"1","Restaurants, Food, Breweries, Gastropubs, Pizza"
"35",92483,"Bad Tom Smith Brewing","Cleveland","OH","44113",41.4860496,-81.7052058,"1","Bar Crawl, Food, Beer, Wine & Spirits, Breweries, Nightlife, Gastropubs, Bars, Restaurants, Beer Bar"
"36",25529,"King Henry's Arms","Richmond Hill","ON","L4C 1V4",43.8540988068,-79.4326051274,"1","Restaurants, Gastropubs, Beer, Wine & Spirits, Nightlife, British, Pubs, Bars, Food"
"37",35740,"The Saint Tavern","Toronto","ON","M6J 3A1",43.6490619,-79.4204784,"0","Nightlife, Bars, Restaurants, Gastropubs"
"38",169294,"Maison Close 1888","Toronto","ON","M5T 2J8",43.6531924,-79.3999578,"1","Nightlife, Gastropubs, Bars, Cocktail Bars, Canadian (New), Restaurants, Pubs"
"39",25005,"Oliver's Ale House","Mississauga","ON","L5T 1X5",43.6493753,-79.6615253,"1","Pubs, Seafood, Gastropubs, Bars, Burgers, Beer, Wine & Spirits, Chicken Wings, Steakhouses, Food, Nightlife, Restaurants"
"40",94153,"P J Marley's","Medina","OH","44256",41.1392621013,-81.8635507409,"1","Restaurants, Gastropubs, Burgers, American (New)"
"41",142310,"The Belsize Public House","Toronto","ON","M4S 2M5",43.7026552,-79.3877002,"1","Restaurants, American (Traditional), Gastropubs"
"42",111709,"Pierre et Pierre","Montréal","QC","H2J 2L4",45.5243634,-73.5831934,"0","Nightlife, Food, Bars, Beer, Wine & Spirits, Canadian (New), Restaurants, Modern European, Gastropubs"
"43",104022,"Azarias","Toronto","ON","M8X 1C4",43.6469981,-79.5131954,"1","Restaurants, Gastropubs, Canadian (New), Food, Beer, Wine & Spirits"
"44",96452,"Bacus Bros Hotdogs and Beer","Tempe","AZ","85281",33.4259647,-111.9402513,"0","Nightlife, Hot Dogs, Beer Bar, Restaurants, Gastropubs, American (Traditional), Bars"
"45",149881,"Zipps Sports Grill","Phoenix","AZ","85018",33.4949347,-112.0020575,"1","Restaurants, Gastropubs, Bars, Nightlife, Sports Bars"
"46",124748,"Taps & Tales","Toronto","ON","M4J 1M6",43.681931,-79.3302083,"0","Gastropubs, Restaurants"
"47",20682,"The Main Dish","Calgary","AB","T2E 9E1",51.0529848,-114.041442,"1","Breakfast & Brunch, Restaurants, Food, Coffee & Tea, American (New), Gastropubs, Delis, Canadian (New), Grocery, Cafes, Gluten-Free"
"48",52780,"The Daughter","Toronto","ON","M6P 3S6",43.665269,-79.4540472,"0","Comfort Food, Cocktail Bars, Restaurants, Seafood, Canadian (New), Nightlife, Breakfast & Brunch, Gastropubs, Bars"
"49",172367,"Billie Jax Grill & Bar","Whitby","ON","L1N 2K8",43.8870486,-78.9118552,"1","American (Traditional), Gastropubs, Nightlife, Bars, Restaurants"
"50",183776,"Saddle Mountain Brewing Company","Goodyear","AZ","85338",33.4565678849,-112.3955378188,"1","Restaurants, Nightlife, Gastropubs, Food, American (Traditional), Breweries, Bars"
"51",81443,"Citizen Public House","Scottsdale","AZ","85251",33.49821,-111.927963,"1","Cocktail Bars, Bars, Nightlife, American (New), Local Flavor, Gastropubs, Salad, Restaurants"
"52",56099,"Heritage Tavern","Madison","WI","53703",43.0768340202,-89.3832337316,"1","Gastropubs, Restaurants, American (New), Breakfast & Brunch"
"53",158024,"Chez Boss & Fils","Verdun","QC","H4G 1T6",45.4676081106,-73.5665655009,"1","Restaurants, Seafood, Gastropubs"
"54",151346,"The Kennedy Public House","Toronto","ON","M6S 1N2",43.6511284,-79.4752387,"0","Gastropubs, Restaurants"
"55",155604,"Forage Public House","Lakewood","OH","44107",41.4853630329,-81.7979407095,"1","Brasseries, Restaurants, Gastropubs, American (New)"
"56",192485,"Pour Beer Wine Food","Calgary","AB","T3P 0M9",51.1739614397,-114.108559303,"0","Nightlife, Gastropubs, Beer, Wine & Spirits, Restaurants, Food, Bars"
"57",13786,"Crêpe Cellar","Charlotte","NC","28205",35.2467073,-80.8059197,"1","American (New), Creperies, Sandwiches, Gastropubs, Restaurants, Modern European"
"58",50887,"The Passenger","Toronto","ON","M6P 1Y8",43.6655725786,-79.4685156825,"0","Nightlife, Gastropubs, Restaurants, Bars"
"59",151417,"Door FiftyFive","Mississauga","ON","L5G 1C9",43.5522949,-79.5845307,"1","Cocktail Bars, Nightlife, Restaurants, Gastropubs, Southern, Bars"
"60",69642,"Davidson Street Public House","Charlotte","NC","28205",35.2473196,-80.8048763,"0","Beer, Wine & Spirits, American (New), Food, Restaurants, Breweries, Tapas/Small Plates, Gastropubs"
"61",93696,"Whelan's Gate Gastropub","Toronto","ON","M6P 1A6",43.6552541,-79.4564717,"1","Restaurants, Irish Pub, Gastropubs, Nightlife, Bars"
"62",4564,"Ground Control","Litchfield Park","AZ","85340",33.507094,-112.358767,"1","Food, Coffee & Tea, Gastropubs, Ice Cream & Frozen Yogurt, Beer, Wine & Spirits, Pizza, Restaurants"
"63",66821,"The Smashed Pig Gastropub","Las Vegas","NV","89101",36.16881,-115.140343,"1","Nightlife, British, American (New), Bars, Gastropubs, Pubs, Restaurants"
"64",189246,"Fionn MacCool's Irish Pub","Oakville","ON","L6H 6Z9",43.4872015711,-79.7173084578,"1","Food, British, Bars, Gastropubs, Pubs, Restaurants, Beer, Wine & Spirits, Nightlife"
"65",182991,"The Grill","Scottsdale","AZ","85255",33.6406334,-111.9086326,"0","Seafood, Gastropubs, Restaurants, Hotels & Travel, Hotels, Event Planning & Services"
"66",106980,"ReBAR","Las Vegas","NV","89104",36.156507104,-115.1535546407,"1","Gastropubs, Dive Bars, Bars, Shopping, Wine Bars, Nightlife, Pubs, Restaurants, Antiques"
"67",138374,"Fireside Restaurant & Tavern","Las Vegas","NV","89183",35.999495,-115.128018,"1","Gastropubs, Nightlife, Bars, Food, American (New), Restaurants"
"68",53581,"Toasted","Phoenix","AZ","85013",33.4974771,-112.0832205,"0","Sandwiches, Gastropubs, Restaurants, American (Traditional)"
"69",28600,"Thirsty Lion Gastropub & Grill","Scottsdale","AZ","85215",33.5033917707,-111.9270379984,"1","Nightlife, American (Traditional), Bars, Pubs, Beer, Wine & Spirits, Food, Diners, Gastropubs, Restaurants"
"70",144989,"Soubois","Montréal","QC","H3A 1M7",45.5005568,-73.5746235,"1","Canadian (New), Gastropubs, Bars, Nightlife, Dance Clubs, Restaurants"
