"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",153313,"Nathan's Famous","Champlain","NY","12919",44.9811404098,-73.458718434,"1","Convenience Stores, Hot Dogs, Gas Stations, Burgers, Automotive, Food Stands, Restaurants, Comfort Food, Food, Fast Food"
"2",34573,"Joeys of Chicago","Phoenix","AZ","85018",33.4949805,-111.9898781,"0","Soup, Sandwiches, Hot Dogs, Restaurants"
"3",22378,"Steves New York Hotdog Shop","Pittsburgh","PA","15212",40.455929,-80.0065429,"0","Hot Dogs, Restaurants"
"4",44157,"Pop's Dairy Bar","Calgary","AB","T2G 4L1",51.0409874,-114.0431246,"0","Food, Hot Dogs, Desserts, Ice Cream & Frozen Yogurt, Restaurants"
"5",6536,"Cheeks Homemade Burgers & Good Eats","Bolton","ON","L7E 1E8",43.8798484,-79.7375796,"1","Restaurants, Burgers, Hot Dogs"
"6",68394,"JP's Dog House","Phoenix","AZ","85016",33.5238568924,-112.0472845529,"1","Barbeque, Restaurants, Hot Dogs, Food Stands, American (New)"
"7",150498,"Sam's Gyros","Phoenix","AZ","85020",33.567452,-112.073536,"0","Fast Food, Hot Dogs, Middle Eastern, Restaurants"
"8",54624,"The Corndog Company LV","Las Vegas","NV","89149",36.2684007,-115.2956118,"1","Food Trucks, Street Vendors, Food, Hot Dogs, Restaurants"
"9",46281,"The Little Dog","Toronto","ON","M6G 1A9",43.6557382,-79.412564,"0","Restaurants, Hot Dogs, Specialty Food, Food"
"10",137499,"Dairy Queen","North Las Vegas","NV","89084",36.2919853,-115.1806678,"1","Ice Cream & Frozen Yogurt, Hot Dogs, Restaurants, Food, Juice Bars & Smoothies"
"11",185966,"McDonald's","Cuyahoga Falls","OH","44224",41.1627833345,-81.4758901298,"1","Coffee & Tea, Restaurants, Hot Dogs, Burgers, Fast Food, Food"
"12",15075,"Hot Dog Daddy","Cave Creek","AZ","85331",33.8337859956,-111.9492445886,"0","Restaurants, Hot Dogs, Street Vendors, Food"
"13",83351,"La Reyna Del Hot Dog","Glendale","AZ","85302",33.5668574215,-112.1873552861,"0","Hot Dogs, Ethnic Food, American (Traditional), Specialty Food, Food, Mexican, Restaurants"
"14",8191,"Boomer's Sweet Home Chicago","Glendale","AZ","85308",33.6403912,-112.1870284,"0","Restaurants, American (New), Burgers, Fast Food, Hot Dogs"
"15",34473,"Five Guys","Las Vegas","NV","89135",36.1449420006,-115.3328382992,"1","Burgers, Restaurants, Fast Food, Hot Dogs"
