"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",191753,"So Cool Frozen Yogurt","Charlotte","NC","28227",35.21051,-80.690262,"0","Juice Bars & Smoothies, Food, Ice Cream & Frozen Yogurt"
"2",85149,"Dairy Queen","Las Vegas","NV","89146",36.1250311,-115.2256202,"0","Fast Food, Food, Restaurants, Ice Cream & Frozen Yogurt"
"3",71864,"Not Your Mother","Toronto","ON","M6K 1L4",43.6417075708,-79.432192035,"1","Desserts, Ice Cream & Frozen Yogurt, Food, Restaurants, Vegan"
"4",24974,"COCO Crafted Organic Chocolate","Toronto","ON","M6S 2E2",43.6575995,-79.4876834,"1","Chocolatiers & Shops, Specialty Food, Ice Cream & Frozen Yogurt, Desserts, Food"
"5",33869,"Coffee, Tea, or Me","Las Vegas","NV","89102",36.1452198,-115.1766512,"0","Sandwiches, Juice Bars & Smoothies, Coffee & Tea, Food, Donuts, Ice Cream & Frozen Yogurt, Restaurants"
"6",63305,"Gelato 64","Chandler","AZ","85224",33.3372236,-111.8753378,"0","Coffee & Tea, Wedding Planning, Food, Event Planning & Services, Ice Cream & Frozen Yogurt, Party & Event Planning, Gelato"
"7",192265,"Baskin-Robbins","Goodyear","AZ","85338",33.4575713,-112.3931507,"1","American (Traditional), Ice Cream & Frozen Yogurt, Food, Restaurants"
"8",183145,"Ben & Jerry's","Davidson","NC","28036",35.4981372,-80.8493039,"1","Restaurants, Desserts, Food, Caterers, Ice Cream & Frozen Yogurt, Bakeries, Event Planning & Services"
"9",40604,"D-Spot Dessert Cafe","Toronto","ON","M8Z 1P7",43.6232196,-79.5173811,"1","Desserts, Cafes, Food, Ice Cream & Frozen Yogurt, Restaurants, Bubble Tea"
"10",138122,"Razzleberriez","Surprise","AZ","85374",33.639747741,-112.3526835253,"0","Food, Ice Cream & Frozen Yogurt"
"11",27907,"Café Mezcal","Montréal","QC","H2X 1B7",45.515404,-73.571156,"1","Food, Breakfast & Brunch, Ice Cream & Frozen Yogurt, Mexican, Cafes, Restaurants"
"12",43511,"Paciugo Gelato","Phoenix","AZ","85085",33.7129708,-112.1130157,"0","Food, Ice Cream & Frozen Yogurt"
"13",123831,"Cool Star","Toronto","ON","M4L 1J1",43.6697599,-79.3001663,"0","Vietnamese, Restaurants, Ice Cream & Frozen Yogurt, Food"
"14",44157,"Pop's Dairy Bar","Calgary","AB","T2G 4L1",51.0409874,-114.0431246,"0","Food, Hot Dogs, Desserts, Ice Cream & Frozen Yogurt, Restaurants"
"15",173463,"Dairy Queen Brazier","Calgary","AB","T3E 6K6",51.0138272453,-114.1327861469,"1","Restaurants, Ice Cream & Frozen Yogurt, Food, Fast Food"
"16",93547,"Carol's Confections","Pittsburgh","PA","15219",40.434009,-80.005785,"1","Ice Cream & Frozen Yogurt, Food, Desserts"
