"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",106451,"Tandoori Xpress","Laval","QC","H7G 2E1",45.576182,-73.683505,"1","Restaurants, Vegetarian, Pakistani, Middle Eastern, Indian"
"2",63916,"Wong's Asian Cuisine","Scarborough","ON","M1P 2P5",43.7472771,-79.2838487,"1","Hakka, Indian, Asian Fusion, Restaurants, Chinese"
"3",118317,"Sree's Foods","Pittsburgh","PA","15213",40.4407672,-79.9587973,"1","Pakistani, Indian, Restaurants, Food"
"4",4231,"Shalom India","Vaughan","ON","L4J 7Y3",43.8097134,-79.4515772,"1","Restaurants, Indian, Kosher"
"5",76638,"Canbe Foods","Ajax","ON","L1Z 0L9",43.8836886954,-79.0172266692,"1","Indian, Restaurants, Sri Lankan"
"6",151767,"Tandori Indian Cuisine","Calgary","AB","",51.0453246,-114.0581012,"1","Indian, Restaurants, Food"
"7",159217,"Bombay Bhel","Mississauga","ON","L4Z 3X7",43.6085327517,-79.6535760451,"1","Indian, Halal, Vegetarian, Restaurants"
"8",9957,"Madras Cafe","Calgary","AB","T2A 5H8",51.0526207189,-113.95613131,"1","Indian, Vegetarian, Restaurants"
"9",91649,"Tangerine Asian Cuisine","Mississauga","ON","L5N",43.5862087814,-79.74122344,"0","Chinese, Asian Fusion, Indian, Restaurants"
"10",112712,"Marigold Maison- Paradise Valley","Phoenix","AZ","85032",33.5986308836,-111.978371822,"1","Indian, Restaurants"
"11",134388,"Punjabi Haveli","Etobicoke","ON","M9V 5E2",43.7358832,-79.6023923,"1","Restaurants, Indian"
"12",127546,"Taj Mahal","Montréal","QC","H4A 3V4",45.4766352,-73.6056252,"1","Restaurants, Indian"
"13",93709,"Taj","Calgary","AB","T3M 0J5",50.8802869,-113.9781836,"0","Restaurants, Indian"
"14",83826,"Mirchi Restaurant","Calgary","AB","T2R 0J2",51.0417258,-114.0804603,"1","Pakistani, Halal, Restaurants, Indian"
"15",135329,"The Kolkata Club","Mississauga","ON","L5R 0G2",43.5969908,-79.6621831,"1","Indian, Restaurants"
"16",109692,"Biryani and Bites","Glendale","AZ","85306",33.6238198,-112.1860294,"1","Vegetarian, Halal, Indian, Restaurants"
"17",103150,"The Spices","Calgary","AB","T2E 2T4",51.0719639,-114.0630136,"0","Specialty Food, Restaurants, Food, Indian"
"18",188165,"Roti Time","Toronto","ON","M6N 1L7",43.6682846,-79.487228,"1","Indian, Restaurants"
"19",53198,"Apalla","Toronto","ON","M6J",43.6460848,-79.4090059,"0","Restaurants, Indian"
"20",151765,"Chimney Fresh","Mississauga","ON","L5W 1Z3",43.643199,-79.7082653,"1","Restaurants, Indian"
"21",158915,"Mint Indian Bistro","Brampton","ON","L6T 4S3",43.725624,-79.716002,"0","Indian, Restaurants"
"22",173823,"Biryani King","Brampton","ON","L6X 4X7",43.702387,-79.7866815,"1","Pakistani, Restaurants, Indian"
"23",39702,"Bombay Buffet Indian Cuisine","Scarborough","ON","M1H 2Y1",43.7670713,-79.2280617,"0","Event Planning & Services, Caterers, Restaurants, Pakistani, Indian"
"24",52272,"Curry Bowl","Chandler","AZ","85248",33.2324025,-111.8569985,"1","Vegetarian, Indian, Buffets, Pan Asian, Restaurants, Food, Desserts"
"25",174055,"Godavari","Charlotte","NC","28262",35.3092300995,-80.7558631088,"1","Indian, Restaurants"
"26",138057,"Taj Mahal Indian Cuisine","Tempe","AZ","85281",33.4502544,-111.9255745,"0","Asian Fusion, Restaurants, Pakistani, Buffets, Indian"
"27",88085,"Tandori","Toronto","ON","M5G 2B3",43.6604836,-79.3844582,"0","Indian, Restaurants"
"28",138933,"Jalsa Ice Cream and Bakery","Tempe","AZ","85284",33.3477919604,-111.9105679541,"0","Ice Cream & Frozen Yogurt, Custom Cakes, Food, Patisserie/Cake Shop, Desserts, Indian, Cupcakes, Coffee & Tea, Restaurants"
"29",42229,"Indian Paradise","Scottsdale","AZ","85260",33.6222859533,-111.9041715755,"0","Indian, Restaurants, Gluten-Free, Pakistani, Halal, Buffets"
"30",166181,"Biryani House","Tempe","AZ","85281",33.4153283,-111.9182786,"0","Halal, Indian, Restaurants, Pakistani"
"31",170110,"Ram Sweet Shop","Montréal","QC","H3N 1T2",45.5245064,-73.6256918,"1","Food, Restaurants, Desserts, Indian"
"32",102851,"Empire Grill","Toronto","ON","M6C 2E2",43.699788833,-79.4318662615,"1","Nightlife, Wine Bars, Thai, Restaurants, Portuguese, Seafood, Chicken Shop, Barbeque, Bars, Indian"
"33",141007,"Ocean Palate","Markham","ON","L3T 0C7",43.8035434,-79.4195738,"1","Ethnic Food, Indian, Breakfast & Brunch, Food, Specialty Food, Halal, Hot Dogs, Restaurants, Vegetarian, Seafood"
"34",136801,"India Gate Exclusive Indian Cuisine","Newmarket","ON","L3Y 2N1",44.0550795,-79.474812,"1","Pakistani, Middle Eastern, Indian, Restaurants"
"35",154096,"Restaurant Bombay","Montréal","QC","H2X 3K4",45.5156828,-73.5641955,"0","French, Restaurants, Indian"
"36",131883,"South India Cuisine","Mayfield Heights","OH","44124",41.519728,-81.459214,"1","Food, Indian, Vegetarian, Restaurants"
"37",4783,"Mirchi","Calgary","AB","T2P 0E4",51.0515752,-114.0781162,"0","Indian, Restaurants, Pakistani"
"38",162448,"Apna Bazaar Indian Groceries","Phoenix","AZ","85032",33.6400875,-112.0042568,"1","Fashion, Shopping, Food, Indian, Restaurants, Department Stores, Imported Food, Fruits & Veggies, Grocery, Specialty Food"
"39",51567,"Woodlands","Charlotte","NC","28227",35.2034511,-80.7216123,"0","Vegetarian, Restaurants, Indian"
"40",154215,"Masala Mahal","Markham","ON","L3R 3P9",43.84985,-79.3476695,"0","Indian, Restaurants, Canadian (New)"
"41",36270,"Anondo Restaurant","Toronto","ON","M4C 1M3",43.6897032,-79.2942628,"0","Restaurants, Bangladeshi, Pakistani, Indian"
"42",81190,"Paradise India","Las Vegas","NV","89118",36.0844883,-115.2410644,"1","Restaurants, Indian"
"43",35446,"Curry n Cake","Charlotte","NC","28262",35.33702,-80.756294,"1","Bakeries, Indian, Restaurants, Food"
"44",28091,"Mother India","Toronto","ON","M6K 1M2",43.6408144,-79.4362132,"1","Middle Eastern, Indian, Pakistani, Restaurants"
"45",176683,"Cuisine of India","Toronto","ON","M3J 2C4",43.7825218,-79.4749587,"1","Caterers, Event Planning & Services, Restaurants, Food, Indian"
"46",107782,"Curry Pot","Las Vegas","NV","89109",36.1226902,-115.1701939,"1","Restaurants, Indian, Vegetarian, Fast Food"
"47",22463,"Zeera By The Bay","Pickering","ON","L1W 1G4",43.8213025,-79.0833698,"1","Restaurants, Indian"
"48",89584,"Zauq","Mississauga","ON","L4W 4L9",43.635445,-79.622726,"1","Restaurants, Food, Pakistani, Indian"
"49",171308,"Everest Restaurant","Cuyahoga Falls","OH","44223",41.1352013,-81.5081128,"1","Indian, Himalayan/Nepalese, Restaurants"
"50",171319,"Nouvelle Lumière de l'Inde","Montréal","QC","H2T 1R9",45.5237087,-73.5939654,"1","Restaurants, Indian"
"51",42612,"Tamarind Savoring India","Pittsburgh","PA","15220",40.3905324708,-80.0717178281,"1","Food, Pakistani, Indian, Restaurants, Bakeries"
"52",136503,"Bombay Bhel","Oakville","ON","L6H 6C8",43.5200070984,-79.6828806748,"1","Specialty Food, Food, Indian, Restaurants"
"53",94587,"Taj Mahal Restaurant","Calgary","AB","T2G 0A8",51.0098859,-114.0668856,"1","Restaurants, Indian, Event Planning & Services, Caterers, Middle Eastern, Pakistani"
"54",124026,"Yuva India Kitchen + Bar","Pittsburgh","PA","15213",40.444838,-79.9488538,"1","Food, Halal, Food Delivery Services, Wineries, Bars, Restaurants, Nightlife, Arts & Entertainment, Indian, Pakistani"
"55",190009,"Amantra Food Fusion","Mississauga","ON","L5M 1L3",43.5811858,-79.7136573,"1","Indian, Restaurants"
"56",105108,"Anokhi Inspired Indian Dining","Brampton","ON","L6W 4L2",43.6590881,-79.721787,"1","Halal, Food, Patisserie/Cake Shop, Caterers, Event Planning & Services, Indian, Restaurants, Vegetarian"
"57",145128,"Jaipur Tandoori","Montréal","QC","H2J 1Y2",45.5291084,-73.5783431,"1","Indian, Restaurants"
"58",179000,"Baba Dhaba","Brampton","ON","L6W 4N7",43.6880071,-79.7292085,"1","Restaurants, Indian, Italian"
"59",48490,"Konkan Delite","Mississauga","ON","L5C 1W1",43.5665509,-79.641102,"1","Indian, Restaurants"
"60",89081,"Spicy Aroma","Toronto","ON","M6H 3Y9",43.6586937,-79.4426326,"1","Indian, Restaurants, Food, Mediterranean, Halal"
"61",82446,"New India Bazaar","Phoenix","AZ","85006",33.4760486,-112.0654671,"1","Indian, Food, Specialty Food, Restaurants, Buffets, Grocery, Ethnic Food"
"62",50031,"Cafe De Khan","Mississauga","ON","L5N 6A3",43.5895002,-79.7388544,"1","Pakistani, Restaurants, Indian"
"63",19017,"Indian Punjabi Bazaar","Brampton","ON","L6Y 0N2",43.6516201,-79.7355858,"1","Indian, Grocery, Food, Restaurants"
"64",92404,"Agra Fine Indian Cuisine","Toronto","ON","M5V 1K1",43.6458616,-79.3925945,"0","Food, Food Delivery Services, Indian, Bangladeshi, Event Planning & Services, Buffets, Restaurants, Caterers"
"65",158103,"Chef of India","Toronto","ON","M4P 1A6",43.7070001967,-79.3971258402,"0","Indian, Middle Eastern, Buffets, Restaurants, Pakistani"
"66",9613,"Chaat Cafe","Madison","WI","53719",43.0496478,-89.5028208,"1","Pakistani, Halal, Indian, Restaurants"
"67",20400,"India Delight","Gilbert","AZ","85234",33.381279,-111.724168,"0","Specialty Food, Pakistani, Food, Restaurants, Indian"
