"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",23732,"Musashi Japanese Restaurant","Charlotte","NC","28210",35.092564,-80.859132,"1","Sushi Bars, Restaurants, Japanese"
"2",55349,"No. 1 Sushi Sushi","Pittsburgh","PA","15222",40.441062,-80.002126,"1","Japanese, Sushi Bars, Restaurants"
"3",106017,"MiraKuru","Calgary","AB","T2S 0A9",51.0377777046,-114.0733513906,"0","Nightlife, Italian, Restaurants, Japanese, Lounges, Bars"
"4",93658,"Kibo Sushi House","Toronto","ON","M8V 1J5",43.6005226,-79.5055159,"1","Sushi Bars, Japanese, Restaurants"
"5",102449,"China AAA","Henderson","NV","89052",35.99822,-115.102246,"1","Restaurants, Hawaiian, Chinese, Japanese, Poke, Asian Fusion, Mexican, Food"
"6",92895,"Nishikawa Ramen","Chandler","AZ","85225",33.3200057,-111.8096749,"1","Asian Fusion, Japanese, Restaurants, Ramen, Tapas Bars"
"7",85008,"Maiko Sushi - DDO","Dollard-des-Ormeaux","QC","H9B 1Z8",45.484315,-73.795652,"1","Restaurants, Sushi Bars, Japanese"
"8",47833,"Sakana Sushi & Grill","Scottsdale","AZ","85250",33.5380294431,-111.9056757902,"1","Asian Fusion, Restaurants, Seafood, Sushi Bars, Japanese"
"9",73973,"Oishii Sushi","Calgary","AB","T2C 4E4",50.977178,-114.0132566,"1","Japanese, Restaurants, Sushi Bars"
"10",92924,"Saiken Sushi","Montréal","QC","H2K 4C8",45.5232256726,-73.551978752,"0","Restaurants, Japanese"
"11",353,"Shabu Shabu Paradise","Henderson","NV","89012",36.011899,-115.0628631,"1","Fondue, Japanese, Restaurants"
"12",44856,"Bar Charlie","Las Vegas","NV","89109",36.124423,-115.146372,"0","Japanese, Restaurants"
"13",33495,"Big Tuna Poké Bar","Toronto","ON","M6G 1K5",43.6646035,-79.4129342,"0","Poke, Asian Fusion, Food, Restaurants, Hawaiian, Japanese"
"14",12089,"Pacific East","Solon","OH","44139",41.3860677,-81.4446929,"0","Food, Malaysian, Restaurants, Japanese"
"15",168102,"The Sushi","Henderson","NV","89012",36.0114785,-114.9922411,"1","Japanese, Sushi Bars, Restaurants"
"16",51869,"Sagano","Toronto","ON","M1T 3G2",43.776815,-79.282992,"0","Japanese, Restaurants"
"17",139368,"Go Wild Sushi & Grill","Las Vegas","NV","89117",36.1433538,-115.2512854,"0","Japanese, Sushi Bars, Restaurants"
"18",88325,"Jiep Jiep","Montréal","QC","H2R 2W9",45.533148,-73.619872,"1","Asian Fusion, Restaurants, Japanese, Pan Asian, Korean"
"19",155296,"Fusion Sushi","Calgary","AB","T2T 0B6",51.0376075,-114.089432,"1","Sushi Bars, Japanese, Restaurants, Asian Fusion"
"20",116953,"Tako Sushi","Mississauga","ON","L4Z 3K8",43.6146219,-79.6630912,"0","Restaurants, Japanese"
"21",173372,"Squid Ink","Scottsdale","AZ","85260",33.5822287,-111.9232574,"0","Nightlife, Bars, Restaurants, Japanese, Sushi Bars, American (New)"
"22",55219,"Sea Saw","Scottsdale","AZ","85251",33.4991931,-111.927532,"0","Japanese, Restaurants"
"23",46488,"Blue Ginger Asian Bistro","Parma","OH","44134",41.3598122952,-81.6856487672,"1","Sushi Bars, Japanese, Asian Fusion, Restaurants, Chinese"
"24",163293,"Ichiban Japanese Restaurant","Tempe","AZ","85281",33.4211717,-111.9149003,"0","Restaurants, Japanese"
"25",32156,"Takopa","Las Vegas","NV","89102",36.1253808,-115.1959803,"1","Ramen, Restaurants, Japanese, Tapas/Small Plates, Fast Food"
"26",68596,"Ninja City Kitchen and Bar","Cleveland","OH","44102",41.4839557604,-81.7316197272,"1","Nightlife, Asian Fusion, Restaurants, Japanese, Ramen, American (New), Bars"
"27",14848,"New Generation Sushi and Teppanyaki","Vaughan","ON","L4K 2M9",43.8187413,-79.531028,"0","Japanese, Restaurants"
"28",123247,"Katsu Japanese Restaurant","Toronto","ON","M4K 1R1",43.6786948,-79.3470507,"1","Japanese, Restaurants, Sushi Bars"
"29",184950,"Sushi Lobü","Montréal","QC","H2E 1T4",45.5480687,-73.606952,"1","Japanese, Restaurants, Sushi Bars"
"30",191744,"Tokyo Peking Asian Restaurants","Las Vegas","NV","89183",36.0069369,-115.1466693,"0","Asian Fusion, Japanese, Sushi Bars, Restaurants"
"31",79549,"Zen's Noodle House","Pittsburgh","PA","15213",40.4405187,-79.9585673,"1","Noodles, Restaurants, Japanese, Ramen"
"32",105804,"Caviar Sushi","Bois-des-Filion","QC","J6Z 2J3",45.6660123,-73.7582051,"1","Restaurants, Asian Fusion, Japanese, Sushi Bars"
"33",160949,"Akira Hibachi & Sushi","Solon","OH","44139",41.3938,-81.445,"1","Japanese, Restaurants"
"34",164425,"Asian Noodle and Sushi","Champaign","IL","61820",40.098735,-88.247069,"1","Pan Asian, Restaurants, Sushi Bars, Japanese, Noodles"
"35",47329,"Akina Japanese Cuisine","Markham","ON","L3R 6E5",43.8333762,-79.3077753,"0","Japanese, Restaurants"
"36",5082,"Malado Sushi","Toronto","ON","M9M 2E7",43.7498162,-79.5493678,"1","Restaurants, Sushi Bars, Korean, Japanese"
"37",152142,"Koji Sushi Bar and China Bistro","Las Vegas","NV","89103",36.1022995155,-115.2024506405,"0","Sushi Bars, Restaurants, Chinese, Japanese"
"38",111877,"Smart Cook","Markham","ON","L6C 0A2",43.8894271259,-79.3150881305,"0","Ramen, Japanese, Restaurants"
"39",175829,"Pan Asian","Las Vegas","NV","89117",36.1349835,-115.2784336,"1","Thai, Japanese, Chinese, Restaurants"
"40",84275,"Kanda Sushi Japanese Buffet","Mississauga","ON","L5A 4C7",43.5747808,-79.6081954,"1","Food, Specialty Food, Restaurants, Japanese, Sushi Bars, Ethnic Food"
"41",187085,"Yatai Japanese Grill & Pub","Las Vegas","NV","89121",36.10076061,-115.1018818087,"0","Pubs, Izakaya, Nightlife, Tapas/Small Plates, Asian Fusion, Restaurants, Japanese, Ramen, Bars"
"42",176617,"Seoul House","Thornhill","ON","L4J 2L1",43.7967303,-79.4264179,"1","Restaurants, Korean, Japanese, Barbeque, Chinese"
"43",97571,"Let's Eat Noodles","Chandler","AZ","85225",33.3200036,-111.8583025,"1","Japanese, Chinese, Restaurants, Ramen, Noodles"
"44",20272,"Papa Chang's Express","Markham","ON","L3R 0N8",43.8252272021,-79.304227531,"1","Taiwanese, Restaurants, Japanese"
"45",37842,"Ted's Sushi Burrito","Las Vegas","NV","89139",36.045795,-115.2441173,"0","Poke, Sushi Bars, Restaurants, Japanese, Food, Asian Fusion"
"46",177072,"Sushi Mugen","Toronto","ON","M4M 1K7",43.6620334719,-79.335608385,"1","Japanese, Restaurants, Sushi Bars"
"47",4175,"Inochi","Vaudreuil-Dorion","QC","J7V 9S3",45.4088096619,-74.0380783081,"0","Restaurants, Sushi Bars, Japanese"
"48",175932,"Kotobuki Japanese Restaurant","Allison Park","PA","15101",40.587217,-80.001142,"0","Japanese, Restaurants, Sushi Bars"
"49",186696,"Azuma","Montréal","QC","H2T 1S4",45.5245262,-73.5954736,"0","Japanese, Sushi Bars, Restaurants"
"50",148208,"Saké Grillades","Montréal","QC","H2T 1R9",45.5234956,-73.5930968,"1","Japanese, Sushi Bars, Restaurants"
"51",71096,"Beach Sushi House","Toronto","ON","M4E 1E9",43.672626,-79.2880939,"0","Japanese, Korean, Restaurants"
"52",18308,"Sumo Grill Japanese Restaurant","Calgary","AB","T1Y 5T4",51.0741972248,-113.9863741376,"1","Sushi Bars, Restaurants, Japanese"
"53",125998,"Big in Japan","Montréal","QC","H2X",45.515085,-73.574814,"0","Restaurants, Japanese"
"54",104821,"Taneko Japanese Tavern","Scottsdale","AZ","85250",33.527824,-111.9270661,"0","Nightlife, Bars, Japanese, Restaurants"
"55",11174,"Ramen Kobo+Sake","Las Vegas","NV","89102",36.1261596,-115.1918043,"1","Ramen, Japanese, Restaurants, Tapas/Small Plates, Izakaya"
"56",47365,"Konnichiwa","Toronto","ON","M5T 1L2",43.6558544,-79.3932809,"0","Japanese, Restaurants"
"57",122286,"Kyoto House & Japanese Restaurant","Whitby","ON","L1N 4H8",43.885217,-78.9439654,"1","Japanese, Restaurants"
"58",74322,"Rikishi Japanese Restaurant","Toronto","ON","M6G 1M1",43.6624171,-79.4228715,"0","Japanese, Restaurants"
