"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",191753,"So Cool Frozen Yogurt","Charlotte","NC","28227",35.21051,-80.690262,"0","Juice Bars & Smoothies, Food, Ice Cream & Frozen Yogurt"
"2",31810,"Daily Donut","Peoria","AZ","85381",33.6092155475,-112.2556132078,"1","Donuts, Coffee & Tea, Juice Bars & Smoothies, Food"
"3",59949,"Pita Pit","Las Vegas","NV","89183",36.012764,-115.136056,"0","Middle Eastern, Restaurants, Vegetarian, Juice Bars & Smoothies, Ethnic Food, Salad, Food, Sandwiches, Specialty Food"
"4",174590,"Flyjin Café","Montréal","QC","H2Y",45.5016615,-73.556605,"1","Coffee & Tea, Cafes, Restaurants, Bakeries, Juice Bars & Smoothies, Local Flavor, Food"
"5",33869,"Coffee, Tea, or Me","Las Vegas","NV","89102",36.1452198,-115.1766512,"0","Sandwiches, Juice Bars & Smoothies, Coffee & Tea, Food, Donuts, Ice Cream & Frozen Yogurt, Restaurants"
"6",55551,"Veltree","Charlotte","NC","28262",35.29692,-80.75539,"1","Vegan, Soul Food, Restaurants, Food, Juice Bars & Smoothies"
"7",190727,"Paradise Boba Tea and Smoothie","Las Vegas","NV","89134",36.1931903,-115.3037626,"0","Restaurants, Food, Coffee & Tea, Juice Bars & Smoothies"
"8",77322,"Brockton Haunt","Toronto","ON","M6H 1B6",43.652360563,-79.4339237061,"1","Juice Bars & Smoothies, Restaurants, Sandwiches, Food, Cafes, Coffee & Tea"
"9",97840,"Nutrition 51","Phoenix","AZ","85032",33.6410698,-112.0038093,"1","Vitamins & Supplements, Coffee & Tea, Food, Shopping, Juice Bars & Smoothies"
"10",157112,"Juby True","Scottsdale","AZ","85254",33.6242483,-111.9243495,"1","Food, Juice Bars & Smoothies"
"11",133233,"Boba Tea House","Chandler","AZ","85224",33.3371772,-111.8753627,"1","Coffee & Tea, Food, Bubble Tea, Juice Bars & Smoothies"
"12",86040,"Revitasize","Vaughan","ON","L0J",43.84689,-79.553526,"1","Specialty Food, Juice Bars & Smoothies, Health Markets, Food"
"13",108483,"Artisen","Matthews","NC","28105",35.117288,-80.725361,"1","Food, Juice Bars & Smoothies, Gelato, Desserts"
"14",84762,"Baskin-Robbins Ice Cream","Scarborough","ON","M1P 4P5",43.7767555,-79.2590081,"1","Ice Cream & Frozen Yogurt, Juice Bars & Smoothies, Food"
"15",131928,"U Food Grill","Cleveland","OH","44135",41.410913,-81.833665,"1","Juice Bars & Smoothies, Restaurants, Sandwiches, Food"
"16",42063,"Waffles Cafe","North Las Vegas","NV","89084",36.285657,-115.178948,"1","Breakfast & Brunch, Bubble Tea, Restaurants, Cafes, Food, Juice Bars & Smoothies"
"17",51037,"Las Tapatias","Las Vegas","NV","89146",36.1592624,-115.2250058,"1","Mailbox Centers, Juice Bars & Smoothies, Gelato, Desserts, Local Services, Mexican, Restaurants, Candy Stores, Ice Cream & Frozen Yogurt, Shaved Ice, Specialty Food, Food"
"18",124877,"Jin's Chicken and Fish","Madison","WI","53715",43.0731912,-89.3958221,"0","Restaurants, Juice Bars & Smoothies, Food, Fast Food, Food Stands"
"19",69807,"One Stop Nutrition","Phoenix","AZ","85044",33.3066809,-111.9799156,"1","Specialty Food, Health Markets, Juice Bars & Smoothies, Food, Vitamins & Supplements, Shopping"
"20",18289,"Krazy 4 Koffee","Phoenix","AZ","85085",33.7977104,-112.0636901,"1","Coffee & Tea, Food, Internet Cafes, Juice Bars & Smoothies, Delis, Restaurants"
"21",109509,"Tasty Crepes","Las Vegas","NV","89147",36.101689985,-115.2981502597,"1","Restaurants, Desserts, Food, Juice Bars & Smoothies, Creperies, Ice Cream & Frozen Yogurt"
"22",156457,"CoCo Fresh Tea & Juice","Toronto","ON","M1V 4A1",43.8067504,-79.2888581,"1","Coffee & Tea, Food, Juice Bars & Smoothies"
"23",103913,"Pop Drinks","Las Vegas","NV","89148",36.0983467817,-115.2993090044,"1","Desserts, Coffee & Tea, Specialty Food, Food, Juice Bars & Smoothies, Popcorn Shops"
"24",46289,"Crux Comptoir","Brossard","QC","J4Y 0L1",45.44659,-73.437164,"1","Juice Bars & Smoothies, Restaurants, Organic Stores, Vegetarian, Salad, Food, Coffee & Tea"
"25",26012,"Formocha North York","Toronto","ON","M2N 5R6",43.7758645,-79.414118,"0","Coffee & Tea, Food, Juice Bars & Smoothies"
"26",103574,"DQ / Orange Julius","Thornhill","ON","L4J 8L7",43.8178353,-79.4507569,"1","Fast Food, Restaurants, Burgers, Juice Bars & Smoothies, Ice Cream & Frozen Yogurt, Food"
"27",40263,"The Crepe Club","Phoenix","AZ","85016",33.5104431,-112.0287274,"0","Food, Sandwiches, Party & Event Planning, Caterers, Restaurants, French, Desserts, Creperies, Juice Bars & Smoothies, Event Planning & Services, Breakfast & Brunch"
"28",137499,"Dairy Queen","North Las Vegas","NV","89084",36.2919853,-115.1806678,"1","Ice Cream & Frozen Yogurt, Hot Dogs, Restaurants, Food, Juice Bars & Smoothies"
"29",172967,"La Limonada","Toronto","ON","M6G 1C1",43.6554002,-79.4181865,"1","Food Stands, Restaurants, Food, Juice Bars & Smoothies"
"30",103172,"Häagen-Dazs","Las Vegas","NV","89109",36.1275236,-115.1715003,"1","Juice Bars & Smoothies, Food, Ice Cream & Frozen Yogurt"
"31",61700,"Frutta Bowls","Madison","WI","53703",43.0747007,-89.3941733,"1","Juice Bars & Smoothies, Desserts, Acai Bowls, Food"
"32",174961,"Happy Bowls","Scottsdale","AZ","85255",33.6999285,-111.9248355,"0","Acai Bowls, Juice Bars & Smoothies, Food, Ice Cream & Frozen Yogurt"
"33",138686,"Fresh Healthy Cafe","Pittsburgh","PA","15205",40.4538803347,-80.1582515985,"1","Food, Restaurants, Cafes, Juice Bars & Smoothies, Salad"
"34",157273,"Seed Shack","Gilbert","AZ","85234",33.3785337,-111.7490249,"1","Food, Vegan, Restaurants, Juice Bars & Smoothies, Vegetarian"
"35",115909,"The Green Regime","Las Vegas","NV","89119",36.0838414902,-115.1197339967,"1","Restaurants, Food Stands, Sandwiches, Salad, Food, Juice Bars & Smoothies"
