"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",68431,"Sofra Mediterranean Cuisine","Richmond Hill","ON","L4E 0T8",43.9137233065,-79.4738390741,"1","Mediterranean, Restaurants, Middle Eastern, Turkish"
"2",13760,"Aladdin's Eatery","Mentor","OH","44060",41.6738589,-81.3228213,"1","Ethnic Food, Specialty Food, Food, Restaurants, Vegetarian, Mediterranean, Middle Eastern"
"3",13222,"Osmow's","Oakville","ON","L6H",43.4841270929,-79.7175015437,"1","Restaurants, Mediterranean"
"4",44769,"Megas Restaurant","Toronto","ON","M4K 1P3",43.6777565,-79.3515772,"1","Restaurants, Greek, Mediterranean, Caterers, Event Planning & Services"
"5",79167,"Naya Mediterranean Cuisine","Scottsdale","AZ","85253",33.5659638976,-111.9250339642,"0","Specialty Food, Food, Bars, Italian, Nightlife, Ethnic Food, Restaurants, Cocktail Bars, Mediterranean"
"6",23517,"Pita Pit","Indian Trail","NC","28079",35.0631169,-80.633164,"1","Mediterranean, Restaurants, Breakfast & Brunch, Fast Food, Middle Eastern, Sandwiches"
"7",64317,"Restaurant Agora Souvlaki","Montréal","QC","H4V 1S8",45.4673896,-73.6386165,"0","Greek, Restaurants, Mediterranean"
"8",32114,"Prince Restaurant","Las Vegas","NV","89103",36.1140708,-115.2409255,"1","American (Traditional), Modern European, Ukrainian, Burgers, Barbeque, Imported Food, Mediterranean, Specialty Food, Food, Ethnic Food, Restaurants"
"9",12197,"Showmars - Seventh Street","Charlotte","NC","28204",35.212005,-80.817991,"1","Breakfast & Brunch, Greek, American (Traditional), Restaurants, Mediterranean"
"10",116586,"Jules Cafe Patisserie","Toronto","ON","M4S 2M5",43.7041655,-79.3882122,"1","Bakeries, Food, Mediterranean, French, Restaurants"
"11",61119,"7 Skewers","Bradford","ON","L0G",44.1074300915,-79.5872459122,"1","Restaurants, Mediterranean"
"12",123650,"Pita Gourmet","Montréal","QC","H2S 1Z4",45.5322357611,-73.5975787416,"1","Restaurants, Turkish, Greek, Middle Eastern, Mediterranean, Lebanese, Kebab, Sandwiches"
"13",150156,"Osmow's","Markham","ON","L6E 0H8",43.9032192596,-79.2674557865,"1","Mediterranean, Restaurants"
"14",11569,"Pita Kitchen - Arrowhead","Glendale","AZ","85308",33.6702064,-112.2004519,"1","Mediterranean, Greek, Restaurants, Vegetarian"
"15",125425,"Xawaash","Toronto","ON","M9W",43.7153145,-79.5928985,"1","Event Planning & Services, Caterers, Specialty Food, Restaurants, Halal, Internet Cafes, Mediterranean, Middle Eastern, African, Food"
"16",116578,"Sorento Restaurant Fine Mediterranean Cuisine","North York","ON","M3C 1V6",43.7269871,-79.3414943,"1","Restaurants, Italian, Local Services, Mediterranean, Greek"
"17",44248,"Shawarma Xpress","Brampton","ON","L6T 0H9",43.7453361828,-79.6915207431,"1","Falafel, Mediterranean, Halal, Restaurants, Middle Eastern"
"18",68725,"Olives Mediterranean Grill","Phoenix","AZ","85032",33.5993478,-111.9835952,"1","Restaurants, Vegetarian, Mediterranean, Middle Eastern"
"19",184763,"New Way Gourmet","Pittsburgh","PA","15201",40.4645039,-79.9602215,"0","Mediterranean, Sandwiches, Delis, Restaurants, Pizza"
"20",847,"Villa Madina","Montréal","QC","H3T",45.5004912,-73.6221452,"1","Restaurants, Food, Mediterranean, Arabian"
"21",164785,"Mr. Greek","Pickering","ON","L1V 1B5",43.829074,-79.096309,"1","Mediterranean, Restaurants, Greek"
"22",15810,"Azuza Hookah Lounge & Cafe","Las Vegas","NV","89169",36.108898,-115.151261,"1","Beer, Wine & Spirits, Bars, Ethnic Food, Cafes, Specialty Food, Restaurants, Cocktail Bars, Arts & Entertainment, Hookah Bars, Tea Rooms, Food, Nightlife, Mediterranean, Coffee & Tea, Music Venues"
"23",132796,"101 Bistro","Phoenix","AZ","85003",33.449799,-112.074714,"0","Greek, American (New), Restaurants, Mediterranean"
"24",180559,"Herb 'n Flavors","Tempe","AZ","85281",33.4065733395,-111.9081115723,"0","Restaurants, American (New), Mediterranean, Greek, Gluten-Free, Italian"
"25",190125,"Leena's Food","Pittsburgh","PA","15289",40.4418197,-79.9571314,"0","Halal, Vegan, Sandwiches, Vegetarian, Ethnic Food, Greek, Middle Eastern, Restaurants, Specialty Food, Mediterranean, Food"
"26",81747,"Couscous Express","Phoenix","AZ","85006",33.4656279532,-112.0409429446,"0","Moroccan, Vegan, Halal, Mediterranean, Restaurants"
"27",161383,"Funkoosh","Mississauga","ON","L5M 1X1",43.580793,-79.713118,"0","Mediterranean, Food, Ethnic Food, Specialty Food, Desserts, Restaurants"
"28",161168,"Rehevot Shawarma","Mississauga","ON","L4W 1J8",43.6256076699,-79.6292785148,"1","Restaurants, Middle Eastern, Mediterranean, Halal"
"29",170636,"Greco Fresh Grille","Fort Mill","SC","29708",35.0473222131,-80.991676636,"1","Mediterranean, Greek, Restaurants"
"30",59985,"Estiatorio Yia Sou!","Montréal","QC","H3X 1V1",45.4824558,-73.6302635,"1","Mediterranean, Restaurants, Greek"
"31",9561,"Aladdin's Eatery","Pittsburgh","PA","15240",40.487933,-79.8873629,"1","Vegetarian, Middle Eastern, Food, Restaurants, Mediterranean"
"32",180641,"Jimmy's A & A Deli","Calgary","AB","T2M 1G6",51.07029,-114.09249,"1","Donairs, Mediterranean, Food, Grocery, Restaurants, Convenience Stores"
"33",151723,"Courtyard Restaurant and Rockies Sports Bar","Calgary","AB","T2M 3Y7",51.0684064,-114.1166808,"1","Pizza, Mediterranean, Breakfast & Brunch, Nightlife, Sports Bars, Bars, Burgers, Restaurants"
"34",178847,"Ash Kris Pizza","Pittsburgh","PA","15213",40.4366326,-79.953824,"1","Mediterranean, Restaurants, Chicken Wings, Pizza"
"35",180391,"Falafel & Grill Express","North York","ON","M3J 3K2",43.7647552,-79.489986,"1","Middle Eastern, Mediterranean, Falafel, Restaurants"
"36",78500,"Dijlah Market","Phoenix","AZ","85051",33.5548321686,-112.1177917983,"1","Restaurants, Herbs & Spices, Food, Specialty Food, Grocery, Mediterranean"
"37",154650,"Villa Madina","Calgary","AB","T2J",50.9547729938,-114.0673842966,"1","Restaurants, Mediterranean, Middle Eastern"
"38",54465,"BLACKOUT Dining in the Dark","Las Vegas","NV","89103",36.119787,-115.190605,"1","Diners, Venues & Event Spaces, Event Planning & Services, Arts & Entertainment, Vegetarian, American (New), Mediterranean, Nightlife, Restaurants"
"39",88953,"Borsalino","North York","ON","M4A 1X1",43.7218888,-79.3034121,"0","Italian, Restaurants, Nightlife, Diners, Cafes, Sports Bars, Mediterranean, Bars, Canadian (New)"
"40",86056,"Landmark Diner Restaurant","Charlotte","NC","28205",35.2139396,-80.7694598,"1","Mediterranean, Italian, Restaurants, Greek, Breakfast & Brunch, Diners"
"41",37048,"Kalyvia On the Danforth","Toronto","ON","M4K 1P3",43.6777591,-79.3509223,"1","Greek, Mediterranean, Restaurants"
"42",31370,"Maracas","Mentor","OH","44060",41.657928,-81.369692,"0","Mediterranean, Restaurants"
"43",82187,"Nick's Restaurant","Madison","WI","53703",43.0749558,-89.389168,"1","Mediterranean, Bars, Diners, Restaurants, Nightlife, Greek"
"44",24475,"Zoes Kitchen","Chandler","AZ","85226",33.3179531038,-111.9671074491,"1","Restaurants, Kebab, Greek, American (New), Mediterranean, Southern, Sandwiches"
"45",109822,"Shawarma Frenzy","East York","ON","M4K 3V8",43.688014,-79.348322,"1","Restaurants, Mediterranean, Middle Eastern, Falafel"
"46",110594,"Aladdin's Eatery","Middleburg Heights","OH","44130",41.373934,-81.830332,"1","Restaurants, Persian/Iranian, Mediterranean, Middle Eastern"
"47",88871,"Kyklos Greek Cafe","Henderson","NV","89014",36.0677813671,-115.0415401663,"1","Restaurants, Mediterranean, Greek, Vegetarian"
"48",86876,"RH Courtyard Cafe","Toronto","ON","M6A 2T9",43.7246843,-79.4541729,"1","Home & Garden, Restaurants, Canadian (New), American (Traditional), Mediterranean, Cafes, Furniture Stores, Shopping"
"49",158519,"Ephesus Pizza - Pittsburgh","Pittsburgh","PA","15222",40.4399009,-80.0023653,"1","Pizza, Mediterranean, Food, Turkish, Food Delivery Services, Restaurants"
"50",172261,"Loca Popa","Scottsdale","AZ","85251",33.4986286,-111.9224398,"0","Vegetarian, Food Trucks, Falafel, Mediterranean, Restaurants, Food"
"51",140155,"La Piccola Cucina","Phoenix","AZ","85006",33.472674,-112.064752,"0","Mediterranean, Italian, Restaurants"
"52",26080,"Ghadir Meat Market","Scarborough","ON","M1R 2Y4",43.7437559159,-79.3041437023,"1","Barbeque, Food, Restaurants, Meat Shops, Mediterranean, Specialty Food"
"53",11952,"Peño Mediterranean Grill","Charlotte","NC","28262",35.3374379,-80.7570791,"1","Restaurants, Greek, Mediterranean"
"54",99387,"Wessen Int'l Kitchen","Tempe","AZ","85281",33.422543,-111.903168,"1","Mediterranean, Specialty Food, Arabian, Middle Eastern, Restaurants, Food"
"55",152652,"Mickele's Bistro","Etobicoke","ON","M9C 5K5",43.6532211,-79.6007767,"0","Greek, Italian, Pizza, Mediterranean, Restaurants"
"56",187214,"Tazza Deli & Grill","Calgary","AB","T2E 0C9",51.0530806,-114.0373867,"1","Restaurants, Middle Eastern, Mediterranean"
"57",28900,"Shawarma and Falafel City","Calgary","AB","T2N 3P7",51.0524051,-114.0913085,"1","Donairs, Falafel, Food, Restaurants, Mediterranean"
"58",34589,"Rifca's Mediterranean Kitchen","Richmond Hill","ON","L4C 6Z7",43.8456934,-79.4317965,"1","Food, Mediterranean, Restaurants"
"59",77284,"Olivia","Vaudreuil-Dorion","QC","J7V 8P5",45.4136727,-74.041432,"1","Italian, Mediterranean, Restaurants"
"60",46213,"La Demande Générale","Montréal","QC","H2X 3L1",45.517522,-73.568246,"1","Bistros, Restaurants, Mediterranean, Canadian (New), Pizza, Food, Smokehouse"
"61",162728,"Grill Cottage","Toronto","ON","M6K 1M3",43.6406358682,-79.4367561489,"1","Falafel, Middle Eastern, Mediterranean, Restaurants, Diners"
"62",91049,"Sheba's","Tempe","AZ","85282",33.3832540723,-111.9252721943,"0","Mediterranean, Restaurants, Middle Eastern"
"63",90532,"Zante Bistro","Toronto","ON","M4E 2B1",43.680955053,-79.3104485795,"0","Greek, Mediterranean, Restaurants"
"64",77624,"Greco Fresh Grille","Charlotte","NC","28226",35.1065191,-80.8073691,"1","Greek, Mediterranean, Restaurants"
"65",120890,"Athen's Gyros & Pasta","Phoenix","AZ","85021",33.55312,-112.1091777,"0","Salad, Restaurants, Mediterranean, Greek, Fast Food"
"66",185131,"La Mirage","Phoenix","AZ","85053",33.6397206,-112.1185603,"0","Mediterranean, Restaurants"
"67",158610,"Home Sweet Home","Toronto","ON","M3J 3A7",43.7552182,-79.4685428,"1","Turkish, Mediterranean, Restaurants, Halal"
"68",51019,"Teta's Mediterranean Kitchen","Markham","ON","L3P 3J3",43.8953326,-79.2648823,"0","Food, Restaurants, Mediterranean"
"69",133869,"Cedar Land","Charlotte","NC","28205",35.211861,-80.761811,"1","Restaurants, Greek, Lebanese, Specialty Food, Middle Eastern, Ethnic Food, Food, Mediterranean, Grocery"
"70",138655,"Shish Kebab House","Glendale","AZ","85302",33.5674844,-112.1673493,"0","Persian/Iranian, Greek, Restaurants, Mediterranean"
"71",125045,"Reyna","Toronto","ON","M5H 3K6",43.6503522,-79.3837951,"1","Salad, Shopping, Public Markets, Mediterranean, Tapas/Small Plates, Spanish, Food, Restaurants, Nightlife, Cocktail Bars, Bars"
"72",181120,"Ararat 17","Matthews","NC","28104",35.068615,-80.7009966,"1","Restaurants, Mediterranean, Middle Eastern, Armenian"
"73",18125,"Casanova","Las Vegas","NV","89109",36.1215792268,-115.1686638594,"1","Restaurants, Tapas Bars, Mediterranean, Italian"
"74",91531,"Bon Chef Cafe","Henderson","NV","89052",35.9975751,-115.1025425,"0","Caterers, Event Planning & Services, Restaurants, Cafes, Breakfast & Brunch, Mediterranean, Food"
"75",141521,"Gyro in Your Face","Surprise","AZ","85379",33.6071869,-112.3933836,"0","Caterers, Sandwiches, Food Trucks, Food, Restaurants, Mediterranean, Event Planning & Services"
"76",53412,"Tuscany Mediterranean Grill","Fitchburg","WI","53711",43.0166386,-89.4234906,"1","Italian, Greek, Restaurants, Mediterranean"
"77",153951,"Chuck's Grill","Charlotte","NC","28269",35.33005,-80.826374,"1","Mediterranean, Greek, Breakfast & Brunch, American (Traditional), Restaurants"
"78",154709,"Louis Souvlaki & Grill","Toronto","ON","M1C 1B7",43.7834364,-79.169776,"1","Sandwiches, Greek, Pizza, Mediterranean, Restaurants, Italian"
"79",178270,"Anatolia Cafe","Cleveland Heights","OH","44118",41.4977513,-81.5655053,"1","Mediterranean, Restaurants, Middle Eastern, Turkish"
"80",18088,"Pita Ikram","Toronto","ON","M6E 2X3",43.6923149,-79.4409185,"1","Middle Eastern, Mediterranean, Diners, Halal, Restaurants, Falafel"
"81",138742,"Porto Fino Pizzaria & Gyro","Carnegie","PA","15106",40.4088392,-80.0849234,"1","Pizza, Italian, Restaurants, Mediterranean, Specialty Food, Food"
"82",41577,"Rustic Cafe","Phoenix","AZ","85024",33.6752395665,-112.0303877816,"1","Mediterranean, Italian, American (Traditional), Restaurants, Breakfast & Brunch"
"83",103129,"Amena Bakery & Deli","Las Vegas","NV","89102",36.148922,-115.209227,"1","Middle Eastern, Restaurants, Mediterranean, Bakeries, Food, Greek"
"84",69984,"The Mediterranean Grill","Scottsdale","AZ","85260",33.6216468811,-111.8983459473,"0","Vegetarian, Restaurants, Middle Eastern, Mediterranean"
"85",89081,"Spicy Aroma","Toronto","ON","M6H 3Y9",43.6586937,-79.4426326,"1","Indian, Restaurants, Food, Mediterranean, Halal"
"86",81340,"Chef Greywolf","University Heights","OH","44118",41.494428,-81.5475371,"1","Food Trucks, Mediterranean, Restaurants, Turkish, Street Vendors, Food"
"87",19080,"Duzan Mediterranean Cafe & Tapas","Henderson","NV","89052",36.0009298,-115.1093718,"0","Middle Eastern, Food, Tapas/Small Plates, Restaurants, Mediterranean, Bakeries"
"88",140859,"Cleopatra","Glendale","AZ","85308",33.640122,-112.181582,"0","Dance Clubs, Nightlife, Mediterranean, Restaurants, Event Planning & Services, Venues & Event Spaces, Middle Eastern"
"89",173541,"Amir","Montréal","QC","H4B 1N1",45.4653006183,-73.6261826443,"1","Mediterranean, Restaurants"
"90",82879,"Pita Jungle","Phoenix","AZ","85018",33.4957331182,-111.9884419374,"1","Mediterranean, Restaurants, American (New), Vegan, Vegetarian, Greek"
"91",120129,"Code Ambiance","Montréal","QC","H3J 1M6",45.4873777,-73.5687653,"0","Mediterranean, Nightlife, Bars, Restaurants, Wine Bars, Canadian (New), French, Asian Fusion"
"92",185694,"Grillades Torino","Laval","QC","H7T 1C8",45.5714505671,-73.7544280933,"1","Barbeque, Restaurants, Mediterranean"
"93",32077,"Monte Carlo Inn - Brampton Suites","Brampton","ON","L6T 4V7",43.7398764,-79.6923356,"1","Event Planning & Services, Venues & Event Spaces, Hotels & Travel, Mediterranean, Hotels, Restaurants"
"94",154127,"Opa Restaurant","Las Vegas","NV","89146",36.14294,-115.242469,"0","Restaurants, Greek, Mediterranean"
"95",126428,"King David Pizza","Thornhill","ON","L4J",43.8107738622,-79.4536817031,"0","Middle Eastern, Mediterranean, Pizza, Sandwiches, Salad, Restaurants"
"96",146570,"Greek Chef","Tempe","AZ","85281",33.3785598,-111.9286709,"0","Restaurants, Greek, Mediterranean"
"97",67875,"Mezza Mediterranean Grill","Calgary","AB","T2G 0G4",51.0473397,-114.0594343,"0","Food, Mediterranean, Grocery, Sandwiches, Restaurants, Delis"
"98",66262,"ZK Grill","Phoenix","AZ","85048",33.305586,-111.9798295,"1","Food, Restaurants, Desserts, Wraps, Mediterranean, Halal, American (Traditional)"
"99",35233,"Arahova Souvlaki","Lasalle","QC","H8N 2N9",45.4356846,-73.6264053,"0","Restaurants, Greek, Mediterranean"
"100",134210,"Birona Hummus Bar","Montréal","QC","H2T 1S5",45.5253466,-73.5974198,"1","Restaurants, Mediterranean, Salad, Sandwiches, Moroccan"
"101",167327,"Symposion Greek Cuisine","Brampton","ON","L6V 1B2",43.6915728,-79.7544654,"1","Restaurants, Mediterranean, Greek"
"102",20464,"Rogues Restaurant","Mississauga","ON","L5K 1P9",43.5394538171,-79.661993423,"1","Italian, Caterers, Mediterranean, Restaurants, Event Planning & Services"
"103",7133,"La Porte Grecque Estiatorio","Dollard-des-Ormeaux","QC","H8Y 3C4",45.500731,-73.814934,"1","Mediterranean, Restaurants, Greek"
"104",38001,"Freska Mediterranean Grill","Middleton","WI","53562",43.0906254,-89.5255967,"1","Restaurants, Mediterranean"
"105",12534,"Falafel Royal","Toronto","ON","M8V 1M4",43.5968402,-79.524241,"1","Restaurants, Falafel, Mediterranean"
"106",130395,"Cleo","Las Vegas","NV","89109",36.1422486001,-115.156616047,"1","Restaurants, Mediterranean, American (New), Tapas/Small Plates, Greek, Middle Eastern"
"107",2096,"Atomic Restaurant","Laval","QC","H7W 1C5",45.5398504,-73.7681028,"0","Pizza, Mediterranean, Greek, Restaurants"
"108",79473,"My Big Fat Greek Restaurant","Chandler","AZ","85226",33.3047658,-111.8983877,"0","Restaurants, Mediterranean, Greek"
"109",39126,"Mike & Tony's Gyros","Pittsburgh","PA","15203",40.4286542,-79.9835802,"1","Restaurants, Greek, Mediterranean"
"110",136865,"Bagatelle Las Vegas","Las Vegas","NV","89109",36.124423,-115.146372,"0","Restaurants, Mediterranean"
"111",123728,"Cyprus Grill","Chandler","AZ","85248",33.2617999,-111.8602743,"0","Vegan, Sandwiches, Greek, Restaurants, Mediterranean"
"112",174093,"Epic Pita","Richmond Hill","ON","L4B 3K4",43.8643608,-79.3834238,"1","Fast Food, Mediterranean, Halal, Restaurants"
"113",135088,"Via Norte Restaurant","Toronto","ON","M6H 1A4",43.653749,-79.4262491,"1","Restaurants, Portuguese, Mediterranean, Canadian (New)"
"114",128368,"Mediterranean Hookah Lounge and Cafe","Madison","WI","53713",43.0389879,-89.3864891,"1","Lounges, Greek, Middle Eastern, Hookah Bars, Mediterranean, Restaurants, Food, Bars, Nightlife"
"115",148459,"Great Canadian Shawarma","Calgary","AB","T2P 1A5",51.0468862,-114.0824053,"0","Mediterranean, Restaurants"
"116",145270,"LUV Lounge","Las Vegas","NV","89123",36.0568011759,-115.1290064998,"1","Bars, Nightlife, Hookah Bars, Lounges, Restaurants, Mediterranean, Karaoke"
"117",53915,"Pylos","Laval","QC","H7T 1A2",45.555696,-73.752072,"0","Greek, Mediterranean, Restaurants"
"118",37504,"Kalie's Restaurant","Cleveland","OH","44121",41.5198724,-81.5199079,"1","Mediterranean, Breakfast & Brunch, Food, Restaurants, Italian"
"119",66914,"My Big Fat Greek Restaurant","Phoenix","AZ","85004",33.4524340713,-112.0686974074,"0","Restaurants, Greek, Mediterranean, Pizza"
"120",131645,"Oasis Cafe","Scottsdale","AZ","85251",33.5017293,-111.9233567,"1","Mediterranean, Lebanese, Middle Eastern, Restaurants, Bars, Hookah Bars, Nightlife"
"121",187432,"Next Door Wine Bar & Tapas","Calgary","AB","T2H 2V2",50.978271,-114.071094,"1","Bars, Restaurants, Mediterranean, Wine Bars, Tapas Bars, Nightlife"
"122",97739,"Grape Vegas","Las Vegas","NV","89119",36.0686142,-115.1776615,"0","Nightlife, Greek, Mediterranean, Wine Bars, Restaurants, Bars"
"123",184486,"Kabob Factory","Las Vegas","NV","89123",36.0416591,-115.1353976,"0","Mediterranean, Afghan, Restaurants"
"124",18191,"Showmars Third Street","Charlotte","NC","28202",35.2263469,-80.845804,"0","Greek, Mediterranean, Restaurants, American (Traditional)"
"125",120854,"That's Greek Cuisine","Etobicoke","ON","M8Z 1R1",43.6228202,-79.5179787,"0","Greek, Mediterranean, Restaurants"
"126",8776,"Nara Hookah Lounge & Bar","Tempe","AZ","85283",33.3496914257,-111.9640475079,"1","Hookah Bars, Restaurants, Mediterranean, Nightlife, Bars"
"127",37945,"Pita's","Las Vegas","NV","89123",36.0526775416,-115.1685404579,"1","Mediterranean, Restaurants, Specialty Food, Imported Food, Food, Ethnic Food"
"128",118314,"Penelope Restaurant","Toronto","ON","M5V 3C3",43.6466821,-79.3881743,"1","Restaurants, Mediterranean, Greek"
"129",165653,"Pita Jungle","Scottsdale","AZ","85260",33.583909,-111.922234,"1","Vegetarian, American (New), Middle Eastern, Mediterranean, Restaurants, Vegan, Greek"
"130",88396,"Jerusalem Shawarma","Calgary","AB","T2M 0H9",51.066697,-114.0677769,"1","Donairs, Food, Middle Eastern, Restaurants, Mediterranean"
"131",98216,"New Falafel Garden Restaurant","Brampton","ON","L6W 3E7",43.688417,-79.7390674,"1","Mediterranean, Falafel, Middle Eastern, Restaurants"
"132",158117,"Kojax Souvlaki","Laval","QC","H7T 1A1",45.5566694143,-73.7476647645,"1","Greek, Mediterranean, Fast Food, Restaurants"
"133",26918,"Beach Club Grill","Mentor","OH","44060",41.6734778,-81.2827338,"0","Pizza, Mediterranean, American (Traditional), Restaurants"
"134",154791,"Saverio","Laval","QC","H7V 2V9",45.547896,-73.755388,"1","Pizza, Restaurants, Event Planning & Services, Dance Clubs, Venues & Event Spaces, Music Venues, Nightlife, Mediterranean, Arts & Entertainment, Italian"
"135",28711,"Adana Shawarma & Grill","Calgary","AB","T2T 0A7",51.037657,-114.085132,"0","Restaurants, Falafel, Turkish, Mediterranean"
"136",76629,"Mezze","Madison","WI","53703",43.0745706,-89.3940617,"0","American (New), Cocktail Bars, Restaurants, Beer, Wine & Spirits, Food, Mediterranean, Pizza, Bars, Tapas/Small Plates, Nightlife"
"137",44539,"Pita Bistro","Phoenix","AZ","85012",33.4846287,-112.0764485,"1","Salad, Restaurants, Middle Eastern, Juice Bars & Smoothies, Food, Gluten-Free, Mediterranean"
"138",71956,"Mr Greek Restaurant","Brampton","ON","L6R 2K7",43.7299559,-79.7653087,"1","Mediterranean, Greek, Restaurants"
"139",142029,"Plaka Taverna","Madison","WI","53774",43.0756691,-89.3772786,"1","Greek, Restaurants, Breakfast & Brunch, Mediterranean"
"140",53617,"Nu Sanctuary Lounge","Las Vegas","NV","89119",36.0687779,-115.1768402,"0","American (New), Bars, Mediterranean, Asian Fusion, Nightlife, Hookah Bars, American (Traditional), Restaurants"
"141",184406,"Chamsine","Toronto","ON","M6C 1A3",43.6826108619,-79.4202558696,"1","Mediterranean, Restaurants, Middle Eastern, Fast Food, Falafel"
"142",14135,"House of Liquor","Las Vegas","NV","89131",36.3081073,-115.2791214,"0","Mediterranean, Restaurants, Pizza, Vegan, Food, Delis, Beer, Wine & Spirits"
"143",38245,"Crown Pita","Pickering","ON","L1V 1C6",43.850205,-79.070689,"1","Afghan, Halal, Restaurants, Mediterranean, Middle Eastern, Falafel"
