"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",50474,"Taco Bell","Phoenix","AZ","85016",33.4951941,-112.0285876,"1","Restaurants, Breakfast & Brunch, Mexican, Tacos, Tex-Mex, Fast Food"
"2",143668,"Maria's Mexican Restaurant & Bakery","Las Vegas","NV","89156",36.1956146,-115.0405289,"1","Mexican, Restaurants, Patisserie/Cake Shop, Food, Bars, Nightlife"
"3",145384,"Served","Henderson","NV","89012",36.0107451,-115.0648029,"1","Ethnic Food, American (New), Burgers, Food, Restaurants, Asian Fusion, Specialty Food, Mexican, Sandwiches, Breakfast & Brunch, Korean"
"4",186171,"Sushi Mocorito","Phoenix","AZ","85051",33.5371638,-112.1329258,"1","Restaurants, Mexican, Sushi Bars"
"5",115371,"Santanas Mexican Food","Phoenix","AZ","85009",33.436984,-112.1012667,"1","Mexican, Restaurants"
"6",14691,"Mexico Lindo","Toronto","ON","M4K 1T1",43.7083547605,-79.3101267401,"1","Mexican, Restaurants"
"7",102449,"China AAA","Henderson","NV","89052",35.99822,-115.102246,"1","Restaurants, Hawaiian, Chinese, Japanese, Poke, Asian Fusion, Mexican, Food"
"8",111379,"Mariscos El Dorado Sin","Phoenix","AZ","85040",33.3945859,-112.0736843,"1","Mexican, Restaurants, Seafood"
"9",24872,"Taxco Mexican Grill","Mint Hill","NC","28227",35.172354,-80.661499,"1","Restaurants, Mexican"
"10",63384,"La Flor De Calabaza","Phoenix","AZ","85004",33.4559491,-112.072089,"1","Breakfast & Brunch, Lounges, Nightlife, Latin American, Mexican, Bars, Restaurants"
"11",135502,"Birrieria Obregon","Phoenix","AZ","85009",33.4753533,-112.1348711,"1","Mexican, Restaurants"
"12",82006,"Chipotle Mexican Grill","Las Vegas","NV","89109",36.120095,-115.171769,"1","Fast Food, Mexican, Restaurants"
"13",184443,"Tacos Chiwas","Phoenix","AZ","85006",33.465551,-112.0401151,"1","Restaurants, Latin American, Mexican, Tacos"
"14",66452,"Tarbell's The Tavern","Phoenix","AZ","85018",33.5091229429,-112.0126287829,"1","American (Traditional), Lounges, American (New), Mexican, Wine Bars, Restaurants, Nightlife, Bars, Cocktail Bars"
"15",181113,"Bahia De Kino","Mesa","AZ","85210",33.4079589844,-111.8536605835,"1","Restaurants, Mexican, Seafood"
"16",23950,"Don Patron","Streetsboro","OH","44241",41.2532681839,-81.3638442734,"1","Mexican, Food, Ethnic Food, Restaurants, Specialty Food, Imported Food"
"17",42748,"Roberto's Taco Shop","Las Vegas","NV","89169",36.1410796647,-115.1193113918,"1","Mexican, Fast Food, Restaurants"
"18",27907,"Café Mezcal","Montréal","QC","H2X 1B7",45.515404,-73.571156,"1","Food, Breakfast & Brunch, Ice Cream & Frozen Yogurt, Mexican, Cafes, Restaurants"
"19",18731,"Casa Flores Restaurant","Boulder City","NV","89005",35.974545,-114.843346,"0","Mexican, Restaurants"
"20",82097,"Wandering Donkey","Cave Creek","AZ","85331",33.8333716,-111.9507042,"1","Mexican, Restaurants, Food, Food Trucks"
"21",60252,"Cantina Laredo","Westlake","OH","44145",41.4615685424,-81.9513030882,"1","Mexican, Bars, Restaurants, Vegetarian, Nightlife"
"22",30500,"Salsa Blanca","Glendale","AZ","85308",33.670048182,-112.2004730166,"0","Mexican, Restaurants"
"23",153036,"Tempe City Tacos","Tempe","AZ","85282",33.3915708,-111.9383874,"1","Breakfast & Brunch, Specialty Food, Food, Tacos, Salad, Restaurants, Event Planning & Services, Caterers, Mexican"
"24",51037,"Las Tapatias","Las Vegas","NV","89146",36.1592624,-115.2250058,"1","Mailbox Centers, Juice Bars & Smoothies, Gelato, Desserts, Local Services, Mexican, Restaurants, Candy Stores, Ice Cream & Frozen Yogurt, Shaved Ice, Specialty Food, Food"
"25",94917,"Fuego Taco Shop","Phoenix","AZ","85032",33.641031,-112.018653,"1","Food, Mexican, Restaurants"
"26",69511,"Nopales","Montréal","QC","H1L 2M1",45.599332,-73.5213154,"1","Mexican, Restaurants"
"27",136065,"360 Gourmet Burrito","Las Vegas","NV","89119",36.0828536999,-115.1512026606,"1","Restaurants, Mexican"
"28",146784,"Wild Margaritas","Avon Lake","OH","44012",41.4940518,-82.0442893,"0","Restaurants, Bars, Tex-Mex, Mexican, Nightlife, Sports Bars"
"29",154618,"Rubalcabas Taco Shop","Las Vegas","NV","89156",36.1958894,-115.060361,"1","Mexican, Restaurants"
"30",156595,"Bahía Centroamerica Restaurant","Las Vegas","NV","89146",36.159578,-115.208656,"1","Honduran, Salvadoran, Nicaraguan, Mexican, Latin American, Restaurants"
"31",96778,"Moe's Southwest Grill","Bridgeville","PA","15017",40.3834121992,-80.0955202135,"1","Mexican, Tex-Mex, Restaurants"
"32",69117,"Chino Locos Original","Toronto","ON","M4L 2P4",43.6644821,-79.3255005,"1","Asian Fusion, Vegetarian, Vegan, Mexican, Restaurants"
"33",83049,"Pepe's Tacos","Las Vegas","NV","89103",36.1125455098,-115.2426152422,"1","Food, Restaurants, Mexican"
"34",183678,"Taco Bell","Las Vegas","NV","89141",36.00232,-115.20777,"1","Food, Fast Food, Restaurants, Tex-Mex, Mexican"
"35",134842,"Chipotle Mexican Grill","Solon","OH","44139",41.3853423,-81.4406239,"1","Restaurants, Mexican, Fast Food"
"36",90951,"Que Tal Fresh Mexican Grill","Cleveland Heights","OH","44118",41.5105244,-81.5797661,"0","Restaurants, Mexican"
"37",14358,"Margaritas Grill","Mesa","AZ","85201",33.4155186,-111.831961,"1","Seafood, Restaurants, Mexican"
"38",41088,"Francisco's Mexican Food","Phoenix","AZ","85048",33.3046352,-112.0125228,"1","Restaurants, Mexican"
"39",40836,"Tacos N' Ritas","Las Vegas","NV","89109",36.1221998492,-115.1699433706,"1","Vegetarian, Mexican, Food, Restaurants"
"40",108215,"Salty Señorita","Mesa","AZ","85209",33.3809022,-111.8069973,"0","Restaurants, Mexican"
"41",103213,"Cozumel","Brook Park","OH","44142",41.4182685,-81.8128145,"0","Mexican, Restaurants"
"42",183922,"Abuelo's","Warrensville Heights","OH","44122",41.449149,-81.496383,"1","Tex-Mex, Restaurants, Mexican"
"43",108041,"Carolina's Mexican Food","Phoenix","AZ","85022",33.5971716,-112.0361968,"1","Mexican, Event Planning & Services, Restaurants, Caterers"
"44",649,"Tijuana Flats","Charlotte","NC","28262",35.3090905,-80.7477275,"1","Tex-Mex, Restaurants, Mexican"
"45",181368,"Taco Bell of Canada","Calgary","AB","T3H 3C8",51.0154135,-114.1690681,"0","Restaurants, Shopping Centers, Mexican, Shopping, Fast Food"
"46",26464,"Wahoo's Fish Tacos","Henderson","NV","89012",36.0141148895,-114.9929875647,"1","Salad, Restaurants, Gluten-Free, Seafood, American (New), Mexican"
"47",8890,"Sabor Latin Street Grill - Davidson","Davidson","NC","28036",35.5017212,-80.8610002,"1","Mexican, Restaurants, Venezuelan, Latin American"
"48",141935,"Tacos La Carreta","Las Vegas","NV","89147",36.1154418446,-115.288565808,"1","American (New), Mexican, Restaurants, Food"
"49",139674,"Los Favoritos","Mesa","AZ","85212",33.3185013453,-111.6863255677,"1","Restaurants, Mexican"
"50",117654,"Taco Bell","Las Vegas","NV","89107",36.1726548,-115.1965118,"0","Fast Food, Restaurants, Tex-Mex, Mexican"
"51",55990,"Toucan Tacos","Toronto","ON","M4M 1G6",43.6587449,-79.3507401,"0","Restaurants, Mexican"
"52",83351,"La Reyna Del Hot Dog","Glendale","AZ","85302",33.5668574215,-112.1873552861,"0","Hot Dogs, Ethnic Food, American (Traditional), Specialty Food, Food, Mexican, Restaurants"
"53",48654,"Rubio's Coastal Grill","Chandler","AZ","85249",33.2781035,-111.7913336,"1","Caterers, Event Planning & Services, Mexican, Seafood, Restaurants, Fast Food, Salad"
"54",140541,"Taco Bell","Stoughton","WI","53589",42.928892,-89.249287,"1","Restaurants, Mexican, Tex-Mex, Fast Food"
"55",126177,"Playa Cabana - Hacienda","Toronto","ON","M5R 1V3",43.6770684,-79.3981842,"1","Restaurants, Mexican"
"56",12683,"Chipotle Mexican Grill","Madison","WI","53703",43.0751466,-89.3965677,"1","Fast Food, Restaurants, Mexican"
"57",46246,"Cinco","Pittsburgh","PA","15243",40.361802,-80.070182,"0","Mexican, Restaurants"
"58",46907,"Taco Bell","Mesa","AZ","85215",33.452196,-111.684205,"1","Tex-Mex, Mexican, Fast Food, Restaurants"
"59",14534,"Las Taquizas","Las Vegas","NV","89110",36.1737686732,-115.0815025168,"1","Food Trucks, Food, Restaurants, Mexican"
"60",131143,"Casa Rasta","Pittsburgh","PA","15216",40.4052704,-80.0302382,"0","Mexican, Restaurants, Caribbean"
"61",176910,"Cafe Rio","Las Vegas","NV","89119",36.1043905,-115.1367126,"1","Mexican, Restaurants"
"62",97871,"Carnitas y Tortas Ahogadas Guadalajara 2","Las Vegas","NV","89104",36.151853,-115.1515795,"1","Mexican, Restaurants"
"63",177571,"Filiberto's Mexican Food","Mesa","AZ","85204",33.393103,-111.8196186,"1","Restaurants, Mexican"
"64",62717,"Chipotle Mexican Grill","Pittsburgh","PA","15213",40.4410619,-79.9579981,"1","Mexican, Fast Food, Restaurants"
"65",43101,"Taco Motorizado","Urbana","IL","61802",40.1186429,-88.2041528,"1","Restaurants, Street Vendors, Mexican, Food"
"66",9298,"Taco Bell","Parma","OH","44129",41.380491,-81.734714,"1","Mexican, Tex-Mex, Fast Food, Restaurants"
"67",154151,"The Habanero Taqueria","Oakville","ON","L6H 2N7",43.4706290875,-79.6944363926,"1","Restaurants, Mexican"
"68",56833,"Federico's Mexican Food","Phoenix","AZ","85034",33.451119,-112.0467,"1","Fast Food, Restaurants, Mexican"
"69",34894,"El Toro","Saint Joseph","IL","61873",40.1112277,-88.0414944,"1","Mexican, Restaurants"
"70",13967,"On The Border Mexican Grill & Cantina","Charlotte","NC","28277",35.0640827,-80.7706718,"1","Restaurants, Tex-Mex, Mexican"
"71",169802,"Fondita Olvera","Mesa","AZ","85203",33.4150559108,-111.8079746515,"0","Restaurants, Mexican"
"72",146372,"Pollo Picante","Mesa","AZ","85201",33.4261011265,-111.8397393823,"1","Mexican, Restaurants, Chicken Shop, American (Traditional), Rotisserie Chicken"
"73",131254,"Salsarita's Fresh Mexican Grill","Concord","NC","28027",35.3713178,-80.7183571,"1","Restaurants, Salad, Tex-Mex, Fast Food, Mexican"
"74",67995,"Paco's Tacos & Tequila","Charlotte","NC","28211",35.156298,-80.830796,"1","Tex-Mex, Restaurants, Bars, Mexican, Tacos, Nightlife"
"75",60760,"Casa Reynoso","Chandler","AZ","85226",33.3186906,-111.9437771,"0","Mexican, Restaurants"
"76",67114,"Border MX Mexican Grill and Cantina","Mississauga","ON","L5B 1N7",43.5821613,-79.6187227,"0","Mexican, Restaurants"
"77",93415,"Las Enchiladas Demama","Las Vegas","NV","89119",36.1013621,-115.1203282,"0","Restaurants, Mexican"
"78",141246,"Galan","Glendale","AZ","85303",33.539554,-112.204713,"1","Ice Cream & Frozen Yogurt, Food, Restaurants, Mexican"
"79",43295,"Baja Fresh Mexican Grill Mexican Grill","Phoenix","AZ","85044",33.3206301,-111.9915878,"0","Mexican, Restaurants"
"80",9262,"Anita's Mexican Grill","Charlotte","NC","28208",35.190365,-80.9290989,"1","Mexican, Restaurants"
"81",40169,"Madres Mexican","Monroeville","PA","15146",40.4291832,-79.7954593,"0","Mexican, Restaurants"
"82",50833,"Taco Bell","Chandler","AZ","85248",33.2629454488,-111.8595999847,"1","Fast Food, Restaurants, Tex-Mex, Mexican"
"83",144592,"Cozymel's Mexican Grill","Las Vegas","NV","89109",36.115123,-115.1564088,"0","Restaurants, Mexican"
"84",117886,"Angel's Diner","Goodyear","AZ","85338",33.4509667975,-112.3502201391,"1","Mexican, Restaurants, American (New), American (Traditional), Vegetarian, Juice Bars & Smoothies, Food"
"85",24929,"Monticello Red Wheel Restaurant","Monticello","IL","61856",40.049686,-88.567102,"1","Sports Bars, Restaurants, American (New), Nightlife, Burgers, Vegetarian, Seafood, Bars, Mexican"
"86",15088,"Los Dos Molinos","Phoenix","AZ","85042",33.3671700568,-112.073720529,"1","New Mexican Cuisine, Restaurants, Mexican"
"87",108484,"Chipotle Mexican Grill","Pittsburgh","PA","15237",40.5689118,-80.0218138,"1","Restaurants, Mexican, Fast Food"
"88",184323,"Rico's Tacos","Calgary","AB","T2E",51.0787983,-114.0625499,"0","Restaurants, Mexican"
"89",152980,"Waldo's Tacos","Peoria","AZ","85345",33.5921191,-112.2555864,"1","Food, Restaurants, Mexican, Food Trucks"
"90",152060,"Taqueria El Buen Pastor Foodtruck","Las Vegas","NV","89102",36.1462673,-115.1829873,"1","Street Vendors, Mexican, Food Trucks, Restaurants, Food"
"91",56080,"M. Burrito","Montréal","QC","H2J 1X3",45.5268438,-73.5804779,"0","Mexican, Tex-Mex, Restaurants"
"92",47437,"Burrito Burrito","Woodbridge","ON","L4H 2P8",43.8279175509,-79.5585564685,"0","Mexican, Tex-Mex, Fast Food, Restaurants"
"93",160663,"El Buen Gusto","Las Vegas","NV","89101",36.1882094,-115.1165816,"1","Latin American, Restaurants, Salvadoran, Mexican"
"94",145580,"International Bistro","Litchfield Park","AZ","85340",33.4948423,-112.3391807,"0","American (New), Restaurants, Sushi Bars, Mexican"
"95",77666,"Vince Neil's Tatuado Cantina","Las Vegas","NV","89109",36.1362847,-115.1514119,"0","Restaurants, Mexican"
"96",104041,"Queen Tacos","Las Vegas","NV","89108",36.2163029953,-115.2408618852,"1","Food Trucks, Mexican, Restaurants, Tacos, Street Vendors, Food"
"97",40393,"Max & Lola Bodega","Charlotte","NC","28203",35.2188599,-80.8605894,"1","Beer Bar, Mexican, Food, Beer Gardens, Restaurants, Wine Bars, Bars, Beer, Wine & Spirits, Nightlife, Food Trucks"
"98",109688,"Del Taco","Las Vegas","NV","89110",36.1662351,-115.0618588,"1","Restaurants, Mexican"
"99",122543,"Taco Bell","Cave Creek","AZ","85331",33.755799,-111.990488,"1","Fast Food, Restaurants, Mexican, Tex-Mex"
"100",149147,"Chipotle Mexican Grill","Twinsburg","OH","44087",41.3080872,-81.4390146,"1","Fast Food, Mexican, Restaurants"
"101",107090,"Taqueria El Buen Pastor","Las Vegas","NV","89107",36.1697408,-115.2055201,"1","Mexican, Restaurants"
"102",158122,"Fat Bastard Burrito","Richmond Hill","ON","L4B 3B4",43.8462106279,-79.3776979451,"1","Vegan, Gluten-Free, Fast Food, Mexican, Vegetarian, Food Stands, Asian Fusion, Restaurants"
"103",176434,"Rivas Mexican Grill #7","North Las Vegas","NV","89032",36.2378822561,-115.1523848623,"1","Restaurants, Mexican, New Mexican Cuisine"
"104",139811,"Cien Agaves Tacos & Tequila - Old Town Scottsdale","Scottsdale","AZ","85251",33.494448,-111.925354,"1","Venues & Event Spaces, Cocktail Bars, Nightlife, Bars, Mexican, Event Planning & Services, Sports Bars, Restaurants"
"105",74699,"Al Pastor","Toronto","ON","M6P 1Z3",43.665455,-79.468919,"1","Restaurants, Mexican"
"106",83888,"Seoul Taco","Champaign","IL","61820",40.110832,-88.2301846,"1","Soul Food, Mexican, Asian Fusion, Korean, Food Trucks, Restaurants, Food"
"107",40463,"Roberto's Taco Shop","Las Vegas","NV","89118",36.0717181212,-115.243497734,"1","Mexican, Restaurants"
"108",109784,"Paco's Tacos","Stoughton","WI","53589",42.9164723,-89.2209869,"1","Restaurants, Mexican"
"109",33715,"Francisco's Mexican Cantina","Madison","WI","53703",43.075100462,-89.3810694782,"1","Restaurants, Mexican"
"110",110540,"Wedge Tequila Bar & Grill","Champaign","IL","61820",40.119807,-88.2438559,"0","Mexican, Restaurants, Nightlife, Bars"
"111",23489,"Chapalas Mexican Restaurants","Las Vegas","NV","89121",36.0996135,-115.1039133,"1","Restaurants, Mexican"
"112",62955,"Chipotle Mexican Grill","Cleveland","OH","44102",41.4876842,-81.7685786,"1","Mexican, Fast Food, Restaurants"
"113",29726,"Fiesta Cancun","Madison","WI","53711",43.060587,-89.5192273,"0","Restaurants, Mexican"
"114",154969,"Super Burrito","Las Vegas","NV","89130",36.2396982,-115.23255,"0","Restaurants, Mexican, Ethnic Food, Food, Specialty Food"
"115",23970,"Taqueria El Buen Pastor","Henderson","NV","89014",36.0650536,-115.045626,"1","Tacos, Mexican, Restaurants"
"116",106947,"Filiberto's Mexican Food","Phoenix","AZ","85225",33.305938,-112.0536219,"1","Mexican, Restaurants"
"117",100484,"Taqueria La Calentana","Fort Mill","SC","29715",35.084049,-80.932851,"1","Food, Restaurants, Mexican, Food Trucks"
"118",97837,"Chica","Las Vegas","NV","89109",36.1226902,-115.1701939,"1","Latin American, Mexican, Wine Bars, Bars, Restaurants, Nightlife"
"119",28582,"Jefe's Taco Shop","Las Vegas","NV","89130",36.2649537244,-115.2519058809,"1","Mexican, Restaurants, Breakfast & Brunch, Fast Food"
"120",51593,"La Pasadita Hot Dogs","Phoenix","AZ","85031",33.494573,-112.158665,"1","Restaurants, Hot Dogs, Mexican"
"121",5312,"Chipotle Mexican Grill","Cuyahoga Falls","OH","44223",41.1481666,-81.5076042,"1","Mexican, Restaurants, Fast Food"
"122",68409,"Taco Bell","Mesa","AZ","85205",33.415549,-111.735609,"1","Mexican, Tex-Mex, Fast Food, Restaurants"
"123",52598,"Cantina 1511","Charlotte","NC","28209",35.173501,-80.849964,"1","Nightlife, Breakfast & Brunch, Bars, Latin American, Mexican, Gluten-Free, Restaurants, Tex-Mex"
"124",160410,"Taco bell","Toronto","ON","M1P 2L6",43.7608579101,-79.2798697203,"1","Mexican, Restaurants, Fast Food"
"125",92994,"Rubio's","Phoenix","AZ","85042",33.3793267053,-112.0308799454,"1","Caterers, Salad, Event Planning & Services, Restaurants, Seafood, Mexican"
"126",604,"Vaqueros Carne Asada","Mesa","AZ","85205",33.4160151481,-111.6921757581,"0","Restaurants, Mexican"
"127",166788,"Taco Bell","Phoenix","AZ","85041",33.3933155,-112.1331165,"1","Tex-Mex, Fast Food, Restaurants, Mexican"
"128",23440,"Familia Loritos","Phoenix","AZ","85017",33.5236222,-112.1134471,"1","Restaurants, Mexican"
"129",103149,"Chipotle Mexican Grill","Las Vegas","NV","89118",36.0636775,-115.2520419,"1","Restaurants, Fast Food, Mexican"
"130",93942,"Taco Bell","Cuyahoga Falls","OH","44221",41.119188,-81.480061,"1","Mexican, Fast Food, Tex-Mex, Restaurants"
