"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",177055,"Marco's Pizza","Mentor-on-the-Lake","OH","44060",41.70852,-81.359556,"1","Italian, Restaurants, Pizza, Chicken Wings"
"2",18934,"Domino's Pizza","Etobicoke","ON","M9B 1K9",43.6406266,-79.5389165,"1","Pizza, Caterers, Restaurants, Event Planning & Services"
"3",95113,"Little Caesars Pizza","Whitchurch-Stouffville","ON","L4A 6B6",43.9994281,-79.2368879,"1","Restaurants, Pizza"
"4",79854,"Bistro Divino","Las Vegas","NV","89102",36.1582642,-115.1579672,"0","Food, Pizza, Wine Bars, Bars, Restaurants, Nightlife"
"5",62046,"Davidson Pizza Company","Davidson","NC","28036",35.5008943,-80.8540364,"1","Chicken Wings, Pizza, Salad, Restaurants"
"6",99615,"Piazza Manna","North York","ON","M2M 4G3",43.7801785,-79.416408,"1","Sandwiches, Restaurants, Pizza, Salad"
"7",29720,"Oregano's Pizza Bistro","Phoenix","AZ","85014",33.50951,-112.060238,"1","Restaurants, Pizza, Sandwiches, Italian"
"8",58597,"Ron's Pizza Palace","Pittsburgh","PA","15212",40.4620076,-79.9838041,"1","Restaurants, Pizza"
"9",49334,"Pizza Hut","Phoenix","AZ","85006",33.479506,-112.046931,"1","Restaurants, Italian, Pizza, Fast Food, Chicken Wings"
"10",163378,"Gino's Restaurant","Madison","WI","53703",43.075131,-89.394445,"0","Italian, Restaurants, Pizza"
"11",34091,"The Roman Candle Pizzeria","Fitchburg","WI","53711",43.0003778,-89.4258729,"1","Restaurants, Pizza"
"12",155975,"Long Wong's Famous Wings","Phoenix","AZ","85017",33.5194909639,-112.1173717113,"1","Pizza, Chicken Wings, Burgers, Restaurants"
"13",160796,"The Standard Pizza & Pasta Bar","Toronto","ON","M6G 1B9",43.6549406,-79.4168398,"0","Restaurants, Pizza, Italian"
"14",140838,"Levetto","Toronto","ON","M6H 1A5",43.6536812,-79.4265904,"1","Salad, Italian, Restaurants, Pizza"
"15",45536,"PICEA997","Toronto","ON","M6H 1Z5",43.6698988,-79.4315486,"0","Sports Bars, Italian, Nightlife, Restaurants, Bars, Pizza"
"16",80627,"Jet's Pizza","Parma","OH","44129",41.4155836,-81.731971,"1","Restaurants, Pizza, Chicken Wings, Sandwiches"
"17",72597,"Sammy's World's Greatest Pizza - Braeside Location","Calgary","AB","T2W 3E4",50.9529899458,-114.116695554,"1","Pizza, Restaurants"
"18",171449,"S & V Urban Italian","Scottsdale","AZ","85260",33.5813628,-111.8796351,"1","Nightlife, Bars, Restaurants, Wine Bars, Pizza, Italian"
"19",11087,"Showcase Pizza","Pittsburgh","PA","15236",40.3398763,-79.9675504,"1","Pizza, Restaurants"
"20",161487,"800 Degrees","Las Vegas","NV","89109",36.1423694,-115.156034,"1","Pizza, Salad, Restaurants, Italian"
