"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",24340,"Marathon Diner","Pittsburgh","PA","15231",40.4961769456,-80.2460112364,"1","Sandwiches, Salad, Restaurants, Burgers, Comfort Food"
"2",4441,"Aroma Espresso Bar","Toronto","ON","M3J 2S5",43.7698543376,-79.5019328828,"1","Sandwiches, Cafes, Food, Restaurants, Coffee & Tea"
"3",145384,"Served","Henderson","NV","89012",36.0107451,-115.0648029,"1","Ethnic Food, American (New), Burgers, Food, Restaurants, Asian Fusion, Specialty Food, Mexican, Sandwiches, Breakfast & Brunch, Korean"
"4",159540,"Ravi Soups","Toronto","ON","M5V 1R1",43.6475853,-79.3920316,"1","Soup, Restaurants, Sandwiches"
"5",59655,"Subway","Pittsburgh","PA","15219",40.4428627,-79.996412,"1","Fast Food, Sandwiches, Restaurants"
"6",120464,"Wendy's","Madison","WI","53716",43.062872,-89.308293,"1","Fast Food, Sandwiches, Restaurants, Burgers"
"7",7746,"Stage Deli Of Las Vegas","Las Vegas","NV","89109",36.1173267,-115.1765011,"0","Sandwiches, Restaurants, Delis, Desserts, Food"
"8",59949,"Pita Pit","Las Vegas","NV","89183",36.012764,-115.136056,"0","Middle Eastern, Restaurants, Vegetarian, Juice Bars & Smoothies, Ethnic Food, Salad, Food, Sandwiches, Specialty Food"
"9",99615,"Piazza Manna","North York","ON","M2M 4G3",43.7801785,-79.416408,"1","Sandwiches, Restaurants, Pizza, Salad"
"10",29720,"Oregano's Pizza Bistro","Phoenix","AZ","85014",33.50951,-112.060238,"1","Restaurants, Pizza, Sandwiches, Italian"
"11",72460,"Woody's Barbq","Calgary","AB","T2A 6L8",51.0601777,-113.9810304,"0","Sandwiches, Restaurants, Barbeque, Salad"
"12",87154,"Jersey Mike's Subs","Middleton","WI","53562",43.0914253964,-89.527287314,"1","Fast Food, Restaurants, Delis, Sandwiches, Wraps"
"13",33869,"Coffee, Tea, or Me","Las Vegas","NV","89102",36.1452198,-115.1766512,"0","Sandwiches, Juice Bars & Smoothies, Coffee & Tea, Food, Donuts, Ice Cream & Frozen Yogurt, Restaurants"
"14",18143,"Jimmy John's","Wexford","PA","15090",40.6320562,-80.0585513,"1","Fast Food, Sandwiches, Restaurants, Food, Food Delivery Services, Delis"
"15",15650,"Hello Bistro","Pittsburgh","PA","15237",40.5701342672,-80.0214552865,"1","Burgers, Restaurants, Cafes, Salad, Sandwiches"
"16",132930,"Panera Bread","Chandler","AZ","85248",33.2481682645,-111.8397652668,"0","Food, Sandwiches, Restaurants, Soup, Bakeries, Salad"
"17",161128,"Arbys Restaurant Higley Rd","Mesa","AZ","85205",33.4502623,-111.718404,"1","Sandwiches, Fast Food, Restaurants"
"18",34212,"Fernando's","Pittsburgh","PA","15222",40.4437123888,-79.9953632967,"0","Fast Food, Sandwiches, Restaurants"
"19",23517,"Pita Pit","Indian Trail","NC","28079",35.0631169,-80.633164,"1","Mediterranean, Restaurants, Breakfast & Brunch, Fast Food, Middle Eastern, Sandwiches"
"20",63752,"Subway","Surprise","AZ","85374",33.6388214,-112.3997883,"1","Sandwiches, Fast Food, Restaurants"
"21",34573,"Joeys of Chicago","Phoenix","AZ","85018",33.4949805,-111.9898781,"0","Soup, Sandwiches, Hot Dogs, Restaurants"
"22",72222,"Eggspectation","Montréal","QC","H2X 2X3",45.507291,-73.565672,"1","Burgers, American (Traditional), Cafes, Breakfast & Brunch, Restaurants, Sandwiches, Comfort Food"
"23",184537,"Subway","Sun City","AZ","85351",33.60136,-112.287538,"1","Sandwiches, Fast Food, Restaurants"
"24",116415,"Panera Bread","Richmond Hill","ON","L4C 5G2",43.8568578495,-79.4344568253,"1","Salad, Bagels, Breakfast & Brunch, Sandwiches, Food, Bakeries, Soup, Restaurants"
"25",27289,"JC's Restaurant","Burton","OH","44021",41.4709663391,-81.1464233398,"1","Burgers, American (New), Sandwiches, Breakfast & Brunch, Restaurants"
"26",133490,"The Cure","Toronto","ON","M6K 1T5",43.6497245738,-79.4315845899,"0","Sandwiches, Breakfast & Brunch, Nightlife, Cocktail Bars, Food, Bars, Restaurants, American (Traditional), Canadian (New), Diners, Specialty Food, Delis, Meat Shops, Delicatessen"
"27",77322,"Brockton Haunt","Toronto","ON","M6H 1B6",43.652360563,-79.4339237061,"1","Juice Bars & Smoothies, Restaurants, Sandwiches, Food, Cafes, Coffee & Tea"
"28",80627,"Jet's Pizza","Parma","OH","44129",41.4155836,-81.731971,"1","Restaurants, Pizza, Chicken Wings, Sandwiches"
"29",70614,"Pita Paradise","North York","ON","M3J 2C7",43.767825,-79.469884,"1","Restaurants, Sandwiches"
"30",153713,"Even Stevens Sandwiches","Gilbert","AZ","85234",33.3568181,-111.7897728,"0","Gluten-Free, Breakfast & Brunch, Sandwiches, Restaurants, Salad"
"31",79409,"Frite Alors","Montréal","QC","H1Y 2J7",45.5499455,-73.5742233,"1","Food Trucks, Burgers, Food, Sandwiches, Restaurants"
"32",64139,"Pennylicks Gourmet Cafe","Toronto","ON","M5T 2M1",43.6559277,-79.4024678,"0","Food, Restaurants, Sandwiches, Coffee & Tea, Desserts"
"33",17787,"Sacks Sandwiches - Hardy","Tempe","AZ","85281",33.4212223787,-111.9516137633,"1","Fast Food, Sandwiches, Restaurants, American (New)"
"34",154220,"Deli Pizza Cafe","Las Vegas","NV","89123",36.0357393,-115.171471,"0","Delis, Restaurants, Sandwiches, Pizza"
"35",90410,"Ravi Soup","Toronto","ON","M6R 1A7",43.6393223111,-79.4425679049,"1","Sandwiches, Soup, Restaurants"
"36",27196,"Peppi's","Pittsburgh","PA","15222",40.436969,-80.0004543,"1","Restaurants, Sandwiches"
"37",162376,"Margo's","Toronto","ON","M8V 1C4",43.6146607077,-79.4890733063,"0","Sandwiches, Poutineries, Restaurants, Cafes"
"38",56935,"Le Gourmand","Toronto","ON","M5V 3S6",43.6481229,-79.3966409,"1","Restaurants, Desserts, Sandwiches, Cafes, French, Coffee & Tea, Food, Breakfast & Brunch"
"39",80696,"Daisy Mountain Coffee Roasters","Phoenix","AZ","85086",33.7996940069,-112.1286818051,"1","Sandwiches, Restaurants, Breakfast & Brunch, Coffee & Tea, Internet Cafes, Food"
"40",80030,"Earl of Sandwich","Tempe","AZ","85281",33.4251725238,-111.9397368282,"0","Salad, Wraps, Event Planning & Services, Soup, Caterers, Sandwiches, Food, Restaurants"
"41",113420,"Fresh Attractions","Charlotte","NC","28208",35.2186768033,-80.9424017063,"1","Restaurants, Sandwiches"
"42",53529,"Einstein Bros Bagels","Las Vegas","NV","89119",36.0574675327,-115.1207419292,"1","Restaurants, Pizza, Food, Bagels, Sandwiches, Breakfast & Brunch"
"43",171664,"McAlister's Deli","Champaign","IL","61820",40.14166846,-88.2503601437,"1","Salad, Delis, Restaurants, Sandwiches, Food"
"44",174115,"Firehouse Subs","Gastonia","NC","28054",35.262106,-81.138489,"1","Restaurants, Fast Food, Burgers, Delis, Sandwiches"
"45",9067,"City Oven","Pittsburgh","PA","15216",40.400967,-80.0425457,"0","Pizza, Food Stands, Sandwiches, Restaurants, Breakfast & Brunch"
"46",162067,"Michelle's Place","Medina","OH","44256",41.1404321,-81.8636042,"1","Desserts, American (New), Restaurants, American (Traditional), Sandwiches, Breakfast & Brunch, Food"
"47",123650,"Pita Gourmet","Montréal","QC","H2S 1Z4",45.5322357611,-73.5975787416,"1","Restaurants, Turkish, Greek, Middle Eastern, Mediterranean, Lebanese, Kebab, Sandwiches"
"48",131928,"U Food Grill","Cleveland","OH","44135",41.410913,-81.833665,"1","Juice Bars & Smoothies, Restaurants, Sandwiches, Food"
"49",7207,"Winchell's Donut House","Las Vegas","NV","89146",36.1282146,-115.2252957,"1","Sandwiches, Food, Donuts, Bagels, Restaurants"
"50",86013,"Subway","Glendale","AZ","85302",33.5814942,-112.15194,"1","Restaurants, Sandwiches, Fast Food"
"51",113273,"Village Inn - North Peoria","Peoria","AZ","85383",33.7118664044,-112.2702986773,"1","Breakfast & Brunch, Burgers, Restaurants, Sandwiches"
"52",103807,"Pho Thanh Huong","Las Vegas","NV","89119",36.1001831,-115.138668,"1","Vietnamese, American (New), Restaurants, Sandwiches"
"53",143409,"Paradise Bakery & Cafe","Tempe","AZ","85281",33.4339009093,-111.9020921101,"0","Food, Restaurants, Bakeries, Cafes, Sandwiches"
"54",190193,"Which Wich","Scottsdale","AZ","85255",33.6763236,-111.9240234,"1","Sandwiches, Restaurants"
