"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",11086,"Salt Cellar","Scottsdale","AZ","85257",33.454286,-111.909405,"1","Seafood, Restaurants"
"2",111379,"Mariscos El Dorado Sin","Phoenix","AZ","85040",33.3945859,-112.0736843,"1","Mexican, Restaurants, Seafood"
"3",166729,"Empress Court","Las Vegas","NV","89109",36.1161559,-115.1750576,"0","Seafood, Chinese, Steakhouses, Restaurants, Italian"
"4",47833,"Sakana Sushi & Grill","Scottsdale","AZ","85250",33.5380294431,-111.9056757902,"1","Asian Fusion, Restaurants, Seafood, Sushi Bars, Japanese"
"5",118410,"Claim Jumper Restaurant & Saloon","Avondale","AZ","85392",33.4630705155,-112.2778768672,"1","Steakhouses, Restaurants, Bars, Nightlife, American (Traditional), Seafood"
"6",181113,"Bahia De Kino","Mesa","AZ","85210",33.4079589844,-111.8536605835,"1","Restaurants, Mexican, Seafood"
"7",170505,"Lomi Poki","Scottsdale","AZ","85260",33.6268709,-111.8931338,"1","Food, Hawaiian, Salad, Restaurants, Seafood, Sushi Bars, Asian Fusion, Poke"
"8",84301,"Mike's Fish Market","Toronto","ON","M5E 1C3",43.6482941062,-79.3714279309,"1","Specialty Food, Food, Seafood Markets"
"9",70359,"Les Cavistes","Montréal","QC","H3L 1T5",45.545757,-73.666302,"1","Sports Bars, Seafood, French, Bars, Nightlife, Bistros, Wine Bars, Canadian (New), Restaurants"
"10",177966,"Buzios Seafood Restaurant","Las Vegas","NV","89103",36.117433,-115.187379,"0","Restaurants, Seafood"
"11",90260,"HUSH","Toronto","ON","M5V 1J5",43.6463659,-79.3902727,"0","Restaurants, Bars, Burgers, American (New), Canadian (New), Seafood, Nightlife"
"12",7245,"Happy Garden","Medina","OH","44256",41.1378021,-81.8214969,"1","Food, Chinese, Restaurants, Seafood, Poke"
"13",49714,"Hook Fish & Chicken","Pittsburgh","PA","15235",40.4652145,-79.8272067,"1","Restaurants, Chicken Wings, Seafood, Fish & Chips"
