"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",159540,"Ravi Soups","Toronto","ON","M5V 1R1",43.6475853,-79.3920316,"1","Soup, Restaurants, Sandwiches"
"2",55440,"Restaurant Nhu Y","Montréal","QC","H2R 2X1",45.5331108,-73.6195176,"0","Vietnamese, Restaurants, Soup"
"3",132930,"Panera Bread","Chandler","AZ","85248",33.2481682645,-111.8397652668,"0","Food, Sandwiches, Restaurants, Soup, Bakeries, Salad"
"4",34573,"Joeys of Chicago","Phoenix","AZ","85018",33.4949805,-111.9898781,"0","Soup, Sandwiches, Hot Dogs, Restaurants"
"5",116415,"Panera Bread","Richmond Hill","ON","L4C 5G2",43.8568578495,-79.4344568253,"1","Salad, Bagels, Breakfast & Brunch, Sandwiches, Food, Bakeries, Soup, Restaurants"
"6",92600,"Imsiam Thai Restaurant and Noodle","Las Vegas","NV","89102",36.1440225,-115.195896,"0","Thai, Noodles, Soup, Restaurants"
"7",90410,"Ravi Soup","Toronto","ON","M6R 1A7",43.6393223111,-79.4425679049,"1","Sandwiches, Soup, Restaurants"
"8",80030,"Earl of Sandwich","Tempe","AZ","85281",33.4251725238,-111.9397368282,"0","Salad, Wraps, Event Planning & Services, Soup, Caterers, Sandwiches, Food, Restaurants"
"9",117928,"Pizza Ranchini","Verona","PA","15147",40.5024446,-79.8125826,"1","Italian, Restaurants, Chicken Wings, Soup, Pizza"
"10",75689,"Œuf et Bœuf","Montréal","QC","H1Y 1X8",45.54922,-73.5741848,"0","Restaurants, Breakfast & Brunch, Soup"
"11",111929,"Pho Tai Bac","Richmond Hill","ON","L4C 9M5",43.8598981278,-79.4338684157,"1","Vietnamese, Soup, Restaurants"
"12",89018,"Panera Bread","North Ridgeville","OH","44039",41.385899,-81.9751,"1","Sandwiches, Bagels, Soup, Breakfast & Brunch, Salad, Restaurants, Bakeries, Food"
"13",181507,"YasikNara","Las Vegas","NV","89102",36.1258783,-115.203633,"1","Soup, Nightlife, Bars, Korean, Restaurants"
"14",81918,"Panera Bread","Tempe","AZ","85281",33.432945436,-111.9055820909,"1","Soup, Sandwiches, Restaurants, Salad"
"15",155666,"King & I","Las Vegas","NV","89119",36.1001658,-115.1389824,"1","Thai, Salad, Soup, Restaurants"
"16",181866,"Soupesoup","Montréal","QC","H2W 1G8",45.5178756,-73.5785416,"0","Sandwiches, Restaurants, Cafes, Soup"
"17",18060,"Panera Bread","Murrysville","PA","15668",40.421806,-79.661538,"1","Restaurants, Breakfast & Brunch, Sandwiches, Bagels, Food, Salad, Soup"
"18",139494,"Panera Bread","Allison Park","PA","15101",40.602218,-79.945617,"1","Bagels, Soup, Salad, Restaurants, Food, Sandwiches, Breakfast & Brunch"
"19",157938,"China Wok","Middleton","WI","53562",43.0967246413,-89.4980389997,"1","Soup, Seafood, Restaurants, Chinese"
"20",99336,"Cafe 56","Cleveland","OH","44124",41.5214960134,-81.4373204383,"1","Salad, Sandwiches, Soup, Restaurants"
"21",96962,"Lafontaine - Comptoir & Marché Express","Montréal","QC","H2L 3M8",45.5244414,-73.5726497,"1","Organic Stores, Restaurants, Juice Bars & Smoothies, Food, Soup"
"22",170774,"Pho Bamboo","Mesa","AZ","85201",33.413244,-111.8735797,"0","Restaurants, Vietnamese, Soup, Noodles"
"23",21904,"Mr Sub","Scarborough","ON","M1X 1E6",43.8223937,-79.2472657,"1","Salad, Soup, Restaurants, Sandwiches"
"24",57261,"Mekong Restaurant","Pittsburgh","PA","15216",40.395543,-80.034904,"1","Chinese, Soup, Vietnamese, Restaurants, Asian Fusion"
"25",178750,"Spitfirez Catering","Wilmerding","PA","15148",40.395472,-79.806074,"1","Food Delivery Services, Event Planning & Services, Restaurants, Food, Barbeque, Bartenders, Caterers, Soup, Sandwiches"
"26",168420,"Spice and Aroma","Mississauga","ON","L5A 1W4",43.5838643,-79.6127916,"1","Soup, Restaurants, Chinese"
"27",157279,"Potbelly Sandwich Shop","Madison","WI","53719",43.058245,-89.504807,"1","Juice Bars & Smoothies, Food, Salad, Soup, Delis, Fast Food, Restaurants, Sandwiches"
"28",33200,"The Farm Kitchen","Phoenix","AZ","85042",33.390829,-112.0129594,"1","Sandwiches, Soup, Restaurants, Breakfast & Brunch, Salad"
"29",114955,"Sweet Tomatoes","Phoenix","AZ","85012",33.5096666571,-112.0717401263,"0","Buffets, Salad, Soup, Vegetarian, Restaurants"
"30",153306,"Freshii","Toronto","ON","M5V 2L4",43.6477264,-79.3962471,"1","Soup, Juice Bars & Smoothies, Restaurants, Food, Sandwiches"
"31",139269,"Panera Bread","Highland Heights","OH","44143",41.539594,-81.451432,"1","Bagels, Restaurants, Sandwiches, Soup, Breakfast & Brunch, Salad, Bakeries, Food"
"32",190145,"Sweet Tomatoes Field Kitchen","Peoria","AZ","85382",33.637715,-112.2223053,"0","Vegetarian, Soup, Restaurants, Buffets, Salad"
"33",156770,"C'mon Let's Eat","Cleveland","OH","44115",41.499097,-81.68919,"0","Food, Soup, Restaurants, Desserts"
"34",5782,"Thé Mon Café","Montréal","QC","H2Y 3Y8",45.5018456042,-73.5588258505,"1","Desserts, Soup, Sandwiches, Breakfast & Brunch, Restaurants, Coffee & Tea, Food, Cafes"
"35",120818,"Ravi Soups","Toronto","ON","M6P",43.661585,-79.455197,"1","Sandwiches, Restaurants, Soup"
"36",122533,"Spice Spirit Chinese Cuisine and Bar","Mesa","AZ","85201",33.4133181,-111.8740924,"1","Restaurants, Szechuan, Soup, Noodles, Chinese, Seafood"
"37",110159,"Red's Catering","Twinsburg","OH","44087",41.2847462774,-81.4410142888,"1","Soup, Event Planning & Services, Buffets, Sandwiches, Caterers, Restaurants, Breakfast & Brunch, Salad"
"38",110592,"Pho MC","Brossard","QC","J4X 2S6",45.448805,-73.471791,"1","Vietnamese, Barbeque, Restaurants, Soup"
"39",179233,"China Ichiban","Pleasant Hills","PA","15236",40.3375560832,-79.9761933088,"1","Chinese, Seafood, Restaurants, Soup"
"40",112140,"Orca  The Sandwich Shoppe","Toronto","ON","M6N 3S3",43.685922,-79.4869324,"1","Soup, Sandwiches, Salad, Restaurants"
"41",61410,"Buk Chang Dong Soon Tofu","Richmond Hill","ON","L4B 1Y3",43.8503381,-79.4079651,"1","Soup, Restaurants, Korean"
"42",159423,"Inchin's Bamboo Garden","Charlotte","NC","28262",35.3164051,-80.7400202,"1","Noodles, Soup, Asian Fusion, Restaurants, Chinese, Salad, Pan Asian"
"43",43242,"Panera Bread","Chandler","AZ","85248",33.248227,-111.839767,"1","Sandwiches, Soup, Restaurants, Salad, Cafes"
"44",106791,"Ladles","Fort Mill","SC","29715",35.0571301,-80.9344997,"1","Sandwiches, Soup, Restaurants, Salad"
"45",70753,"Panera Bread","Las Vegas","NV","89118",36.0573979,-115.2422172,"1","Restaurants, Salad, Sandwiches, Soup"
"46",174695,"Xavier Artisan","Montréal","QC","H2Y 2B2",45.5025048,-73.5546985,"0","Sandwiches, Soup, Ice Cream & Frozen Yogurt, Food, Restaurants"
"47",65124,"Q Bistro","Las Vegas","NV","89146",36.1273969,-115.2240685,"1","American (New), Nightlife, Korean, Bars, Barbeque, Chicken Wings, Restaurants, Asian Fusion, Pizza, Soup"
"48",36216,"Royal Indian Bistro","Las Vegas","NV","89103",36.1168022203,-115.1856471948,"1","Ethnic Food, Indian, Food, Vegan, Bars, Vegetarian, Specialty Food, Nightlife, Restaurants, Soup"
"49",185360,"Café Zupas","Las Vegas","NV","89118",36.0603197442,-115.2416230813,"1","Salad, Restaurants, Soup, Sandwiches, American (New)"
"50",21005,"Freshii","Toronto","ON","M4W 1A9",43.670347,-79.3853019,"1","Restaurants, Soup, Sandwiches, Breakfast & Brunch"
"51",60719,"Twisted Meltz","Kent","OH","44240",41.1535258,-81.3568781,"1","Sandwiches, Burgers, Food, Soup, Ice Cream & Frozen Yogurt, Restaurants, American (Traditional), Salad"
"52",134909,"Ô Claf","Montréal","QC","H3G 1W9",45.500084,-73.577303,"1","Sandwiches, Specialty Food, Soup, Salad, Delis, Restaurants, Food"
"53",169546,"Saigon Gourmet Vietnamese Restaurant","Calgary","AB","T2C 2C5",50.9974558,-114.0203494,"1","Vietnamese, Restaurants, Noodles, Soup"
"54",131117,"The Submarine","Calgary","AB","T2E 2Z6",51.0951903,-114.0629513,"1","Restaurants, Vietnamese, Sandwiches, Soup"
"55",151702,"Soupesoup","Montréal","QC","H3G 2C1",45.49876,-73.5786786,"0","Soup, Canadian (New), American (New), Sandwiches, Restaurants"
