"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",145384,"Served","Henderson","NV","89012",36.0107451,-115.0648029,"1","Ethnic Food, American (New), Burgers, Food, Restaurants, Asian Fusion, Specialty Food, Mexican, Sandwiches, Breakfast & Brunch, Korean"
"2",177039,"Sanagan's Meat Locker","Toronto","ON","M4L 2A4",43.6727211,-79.3195719,"1","Meat Shops, Food, Specialty Food"
"3",98565,"Today's Market","Oakmont","PA","15139",40.5194397,-79.8423011,"1","Food, Specialty Food, Health Markets"
"4",24974,"COCO Crafted Organic Chocolate","Toronto","ON","M6S 2E2",43.6575995,-79.4876834,"1","Chocolatiers & Shops, Specialty Food, Ice Cream & Frozen Yogurt, Desserts, Food"
"5",59949,"Pita Pit","Las Vegas","NV","89183",36.012764,-115.136056,"0","Middle Eastern, Restaurants, Vegetarian, Juice Bars & Smoothies, Ethnic Food, Salad, Food, Sandwiches, Specialty Food"
"6",13760,"Aladdin's Eatery","Mentor","OH","44060",41.6738589,-81.3228213,"1","Ethnic Food, Specialty Food, Food, Restaurants, Vegetarian, Mediterranean, Middle Eastern"
"7",125169,"Japanese Specialties","Las Vegas","NV","89119",36.1005917,-115.1172961,"0","Grocery, Food, Specialty Food"
"8",166894,"Sinaloa Tacos 2","North Las Vegas","NV","89030",36.196168,-115.1108857,"1","Specialty Food, Imported Food, Ethnic Food, Food"
"9",3826,"Rocky Mountain Chocolate Factory","Mississauga","ON","L5B 2C9",43.5930784,-79.6424911,"1","Desserts, Food, Chocolatiers & Shops, Specialty Food"
"10",158485,"Gandhi International Market","Charlotte","NC","28213",35.3072078,-80.7207979,"1","Grocery, Specialty Food, Ethnic Food, Food, Imported Food"
"11",88804,"Circles Grill and Market","Charlotte","NC","28277",35.0393909574,-80.7950710445,"0","Burgers, Italian, Beauty & Spas, Wine Bars, Barbers, Peruvian, American (Traditional), Bars, Gastropubs, Diners, Salad, Specialty Food, Restaurants, American (New), Nightlife, Cafes, Food"
"12",79167,"Naya Mediterranean Cuisine","Scottsdale","AZ","85253",33.5659638976,-111.9250339642,"0","Specialty Food, Food, Bars, Italian, Nightlife, Ethnic Food, Restaurants, Cocktail Bars, Mediterranean"
"13",138117,"Williams-Sonoma","Scottsdale","AZ","85251",33.502364,-111.929182,"1","Appliances, Food, Specialty Food, Shopping, Home & Garden, Kitchen & Bath"
"14",55888,"Nortown Meats & Specialities","North York","ON","M2L 1L3",43.7472581,-79.385072,"1","Specialty Food, Food"
"15",133490,"The Cure","Toronto","ON","M6K 1T5",43.6497245738,-79.4315845899,"0","Sandwiches, Breakfast & Brunch, Nightlife, Cocktail Bars, Food, Bars, Restaurants, American (Traditional), Canadian (New), Diners, Specialty Food, Delis, Meat Shops, Delicatessen"
"16",111748,"Ferrucci's Old Tyme Italian Market","Cornelius","NC","28031",35.4875889596,-80.875062168,"1","Event Planning & Services, Meat Shops, Italian, Caterers, Restaurants, Grocery, Specialty Food, Delis, Food"
"17",150874,"Tastebuds Popcorn","Charlotte","NC","28277",35.0266509868,-80.8402292817,"0","Specialty Food, Food, Popcorn Shops"
"18",99512,"Sprouts Farmers Market","Peoria","AZ","85383",33.7130173897,-112.2775831819,"1","Specialty Food, Food, Grocery, Fruits & Veggies, Farmers Market, Health Markets"
"19",23950,"Don Patron","Streetsboro","OH","44241",41.2532681839,-81.3638442734,"1","Mexican, Food, Ethnic Food, Restaurants, Specialty Food, Imported Food"
"20",51804,"Foote's Valley Farm","Valley View","OH","44125",41.3981336104,-81.6262366623,"1","Fruits & Veggies, Delis, Restaurants, Bakeries, Specialty Food, Farms, Arts & Entertainment, Food"
"21",172002,"NutriShop","Tempe","AZ","85281",33.3918256,-111.9374633,"1","Vitamins & Supplements, Shopping, Health Markets, Food, Weight Loss Centers, Specialty Food, Health & Medical"
"22",32114,"Prince Restaurant","Las Vegas","NV","89103",36.1140708,-115.2409255,"1","American (Traditional), Modern European, Ukrainian, Burgers, Barbeque, Imported Food, Mediterranean, Specialty Food, Food, Ethnic Food, Restaurants"
"23",191041,"Treetz Goodeatz","Fort Mill","SC","29708",35.0622606,-80.9946148,"1","Specialty Food, Gift Shops, Flowers & Gifts, Popcorn Shops, Shopping, Food, Desserts"
"24",125224,"Wheel & Wedge","Pittsburgh","PA","15201",40.4624,-79.9678787,"0","Education, Food, Cheese Tasting Classes, Tasting Classes, Specialty Food, Cheese Shops"
"25",40342,"Longos","Mississauga","ON","L4W 3Z3",43.636371,-79.595664,"1","Grocery, Food, Fruits & Veggies, Specialty Food"
"26",25122,"Metropolis Popcorn","Cuyahoga Falls","OH","44221",41.1360859,-81.4831089,"1","Shopping, Popcorn Shops, Specialty Food, Grocery, Gift Shops, Food, Flowers & Gifts, Candy Stores"
"27",86040,"Revitasize","Vaughan","ON","L0J",43.84689,-79.553526,"1","Specialty Food, Juice Bars & Smoothies, Health Markets, Food"
"28",84301,"Mike's Fish Market","Toronto","ON","M5E 1C3",43.6482941062,-79.3714279309,"1","Specialty Food, Food, Seafood Markets"
"29",88114,"Roselle","Toronto","ON","M5A 1K9",43.6535432,-79.3620478,"1","Food, Coffee & Tea, Bakeries, Ice Cream & Frozen Yogurt, Specialty Food"
"30",94854,"JoJo's Jerky","Las Vegas","NV","89109",36.1141366,-115.1719593,"1","Specialty Food, Food"
"31",87065,"Jean-Marie Auboine Chocolatier FACTORY SHOP","Las Vegas","NV","89103",36.108979,-115.2058211,"1","Food, Wholesalers, Professional Services, Chocolatiers & Shops, Candy Stores, Specialty Food"
"32",146412,"La Salumeria","Toronto","ON","M4S 2A2",43.7013197,-79.3970562,"1","Delicatessen, Specialty Food, Cheese Shops, Food"
"33",82214,"Dulceria Importaciones Valentinas","Glendale","AZ","85304",33.5973396,-112.1525588,"1","Specialty Food, Food, Candy Stores, Popcorn Shops, Party Supplies, Event Planning & Services"
