"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",120666,"Medium Rare","Toronto","ON","M9B 1A5",43.6388793,-79.5376319,"0","Grocery, Restaurants, Steakhouses, Butcher, Food"
"2",110072,"TJ's Steakhouse","Las Vegas","NV","89109",36.1362575,-115.1512526,"0","Steakhouses, Restaurants"
"3",166729,"Empress Court","Las Vegas","NV","89109",36.1161559,-115.1750576,"0","Seafood, Chinese, Steakhouses, Restaurants, Italian"
"4",118410,"Claim Jumper Restaurant & Saloon","Avondale","AZ","85392",33.4630705155,-112.2778768672,"1","Steakhouses, Restaurants, Bars, Nightlife, American (Traditional), Seafood"
"5",141212,"O'malley's Rockcliff","Rocky River","OH","44116",41.470568,-81.836406,"0","Steakhouses, Restaurants"
"6",171468,"Big Foot Smoke House And Bar","Newmarket","ON","L3Y 8Y8",44.0524455,-79.4265604,"0","Restaurants, American (Traditional), Steakhouses, Bars, Nightlife, Barbeque"
"7",182464,"Texas Roadhouse","Peoria","AZ","85382",33.6321621,-112.2375661,"1","Restaurants, American (Traditional), Steakhouses, Barbeque"
"8",15282,"Beso Steakhouse","Las Vegas","NV","89109",36.108999,-115.173179,"0","Steakhouses, Restaurants, Diners"
"9",125666,"Table 31","Mooresville","NC","28117",35.527089694,-80.8675443112,"1","American (New), Restaurants, Steakhouses"
"10",185991,"Lakewood Village Tavern","Lakewood","OH","44107",41.476796,-81.786777,"1","Burgers, Nightlife, Bars, Karaoke, Steakhouses, Dive Bars, Restaurants"
"11",175460,"Mickey & Mooch","Charlotte","NC","28277",35.0960065,-80.7801381,"1","Seafood, American (New), Restaurants, Steakhouses"
"12",157652,"Cabin Club","Westlake","OH","44145",41.4605556,-81.958732,"1","American (New), Restaurants, Steakhouses, Nightlife, Bars"
"13",47555,"Mister Steer","Montréal","QC","H3B 1K1",45.498739,-73.574025,"1","American (Traditional), Burgers, Restaurants, Diners, Steakhouses"
"14",63046,"Bob Taylor's Ranch House","Las Vegas","NV","89130",36.2747255482,-115.2457870358,"1","American (Traditional), Restaurants, Steakhouses, Nightlife, Bars, Cocktail Bars, Seafood"
"15",59911,"The Keg Steakhouse + Bar - Pointe-Claire","Pointe-Claire","QC","H9R 1C4",45.4640803605,-73.8300067602,"1","Seafood, Bars, Nightlife, Canadian (New), Steakhouses, Restaurants"
"16",115373,"XXI Chophouse","Kleinburg","ON","L0J 1C0",43.8438185,-79.6293535,"1","Steakhouses, Restaurants"
"17",171414,"Saddle Ranch Chop House","Glendale","AZ","85305",33.5329519271,-112.2607618891,"1","American (Traditional), Nightlife, Steakhouses, Restaurants, Bars, American (New)"
"18",110104,"Cleaver -  Butchered Meats, Seafood & Cocktails","Las Vegas","NV","89169",36.1188165,-115.1542185,"1","Seafood, Bars, Restaurants, Steakhouses, Cocktail Bars, Nightlife"
"19",190825,"Quaker Steak & Lube","Mentor","OH","44060",41.6577255335,-81.3782529441,"1","Restaurants, American (Traditional), Chicken Wings, Steakhouses"
"20",182261,"Texas Roadhouse","Tempe","AZ","85284",33.3383358638,-111.9703973585,"1","American (New), Barbeque, Restaurants, Sandwiches, American (Traditional), Salad, Steakhouses"
"21",119443,"Black & Bleu American Grill","Scottsdale","AZ","85260",33.5813336,-111.8795047,"0","Event Planning & Services, American (New), Caterers, Seafood, Restaurants, American (Traditional), Burgers, Steakhouses, Food"
"22",155221,"Roy's Restaurant","Las Vegas","NV","89119",36.1151569,-115.14971,"0","Seafood, Restaurants, Sushi Bars, Hawaiian, Steakhouses, Asian Fusion"
"23",146524,"P.J. Clarke's New York Chophouse","Las Vegas","NV","89109",36.118399,-115.172945,"0","Steakhouses, Gastropubs, Seafood, American (New), Venues & Event Spaces, Beer, Wine & Spirits, Restaurants, Food, Event Planning & Services"
"24",44300,"The Keg Steakhouse + Bar - York Street","Toronto","ON","M5H 3R8",43.6499945,-79.3839517,"1","Restaurants, Steakhouses, Nightlife, Seafood, Bars"
"25",78002,"Diamond Men's Club","Cleveland","OH","44113",41.4932113,-81.7021476,"1","Sports Bars, Adult Entertainment, Restaurants, Steakhouses, Strip Clubs, Nightlife, Bars"
"26",116679,"Applebee's Grill + Bar","Pineville","NC","28134",35.0857094,-80.8789629,"1","Sports Bars, American (Traditional), Nightlife, Steakhouses, Burgers, Bars, Restaurants"
"27",70230,"Château d'Or","Boisbriand","QC","J7G 1C8",45.6193537,-73.8130869,"1","Breakfast & Brunch, Pizza, Steakhouses, Italian, Delis, Restaurants"
"28",181601,"Canyon Creek","Etobicoke","ON","M9C 5H5",43.6139172,-79.5598625,"0","Seafood, Steakhouses, Restaurants"
"29",108388,"Yolie's Brazilian Steak House","Las Vegas","NV","89169",36.11654,-115.1542695,"0","Brazilian, Restaurants, Steakhouses"
"30",96535,"Bon Appétit Chéri","Laval","QC","H7V 3Z3",45.5491665,-73.7444668,"1","Salad, Restaurants, Steakhouses, Burgers, Breakfast & Brunch"
"31",109544,"Lone Star Steakhouse & Saloon","Pineville","NC","28134",35.0883861,-80.8788478,"0","Steakhouses, Restaurants"
"32",107855,"Wagon Wheel","Cave Creek","AZ","85331",33.817695,-111.95425,"1","Breakfast & Brunch, Burgers, Steakhouses, Restaurants"
"33",18318,"Texas Roadhouse","Bridgeville","PA","15017",40.369472,-80.1050829,"1","Restaurants, Barbeque, Steakhouses, American (Traditional)"
"34",144230,"Rincon De Buenos Aires","Las Vegas","NV","89146",36.126315,-115.214259,"1","Argentine, Delis, Specialty Food, Ethnic Food, Italian, Restaurants, Food, Latin American, Grocery, Steakhouses"
"35",59621,"Central Grille","Phoenix","AZ","85020",33.5612361,-112.0737398,"0","Bars, Food, Restaurants, Beer, Wine & Spirits, Nightlife, Seafood, Steakhouses"
"36",17447,"Chops","Montréal","QC","H3X 1T7",45.483104,-73.6294507,"1","Restaurants, Asian Fusion, Beer, Wine & Spirits, Sushi Bars, Kosher, Food, Steakhouses"
"37",26330,"Montana's BBQ & Bar","Calgary","AB","T3H 3P8",51.0195819431,-114.1679570385,"1","Restaurants, Steakhouses, Canadian (New), Barbeque, Comfort Food"
"38",35606,"Le Steak Frites St-Paul","Saint-Sauveur","QC","J0R 1R3",45.8918264,-74.1536574,"1","French, Steakhouses, Restaurants"
"39",111982,"Fleming's Prime Steakhouse & Wine Bar","Madison","WI","53705",43.0747399,-89.451447,"1","Seafood, Restaurants, Steakhouses, Nightlife, Wine Bars, Bars"
"40",64533,"Logan's Roadhouse","Mesa","AZ","85201",33.4340387101,-111.8669054657,"0","Steakhouses, Restaurants"
"41",157788,"The Steakhouse at The Pass","Henderson","NV","89002",35.972629,-114.912004,"0","Steakhouses, Restaurants"
"42",105477,"Pickle Bill's Lobster House","Grand River","OH","44045",41.7422812666,-81.2812566164,"1","Bars, American (Traditional), Nightlife, Food, Beer, Wine & Spirits, Dive Bars, Steakhouses, Restaurants, Seafood"
"43",83294,"Local Jerk","Montréal","QC","H2W 1G6",45.5171696,-73.5790995,"1","Restaurants, Steakhouses, Caribbean, Chicken Shop"
"44",86631,"Tony Roma's","Calgary","AB","T3G 4J8",51.0798557,-114.0025499,"1","Barbeque, Restaurants, Seafood, Steakhouses, American (Traditional)"
"45",167318,"The Rib House Restaurant","East York","ON","M4C 4E5",43.6932653,-79.3158736,"1","Barbeque, Restaurants, American (Traditional), Steakhouses"
"46",130150,"Texas Roadhouse","Phoenix","AZ","85085",33.7149105285,-112.1160852606,"1","Restaurants, Beer, Wine & Spirits, Steakhouses, Food, Sandwiches"
"47",94220,"Ric's Lounge & Grill","Calgary","AB","T1Y 7K7",51.0712956286,-113.9989554631,"1","Seafood, Breakfast & Brunch, Restaurants, Steakhouses"
"48",51539,"Outback Steakhouse","Tempe","AZ","85282",33.3937655,-111.91019,"1","Steakhouses, Restaurants"
"49",18431,"Madisons New York Grill & Bar","Montréal","QC","H3B 4X4",45.4970721,-73.5703988,"1","Steakhouses, American (Traditional), Restaurants"
"50",135373,"MR MIKES SteakhouseCasual","Calgary","AB","T3P 0A3",51.1676683427,-114.1289994121,"1","Steakhouses, Restaurants"
"51",136014,"Lodge Wood Fired Grill","Concord","NC","28027",35.3611081,-80.7110796,"1","Steakhouses, Restaurants, Sandwiches, American (Traditional)"
"52",168484,"Landry's Seafood House","Las Vegas","NV","89102",36.144997,-115.175625,"0","Restaurants, Seafood, Steakhouses, American (Traditional)"
"53",123738,"Jim Gould","Champaign","IL","61820",40.1182231,-88.2435515,"0","Steakhouses, Seafood, Restaurants"
"54",115148,"Fleming's Prime Steakhouse & Wine Bar- Chandler","Chandler","AZ","85226",33.3185006589,-111.9680584264,"1","Wine Bars, Nightlife, Bars, Seafood, Steakhouses, Restaurants"
