"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",109616,"The Steady Cafe & Bar","Toronto","ON","M6H 1M4",43.6604937,-79.432099,"0","Restaurants, Nightlife, Breakfast & Brunch, Vegan, Food, Tapas Bars, Bars, Southern, Coffee & Tea"
"2",184313,"Apteka","Pittsburgh","PA","15224",40.4656937,-79.9493238,"1","Nightlife, Bars, Polish, Modern European, Restaurants, Vegan"
"3",71864,"Not Your Mother","Toronto","ON","M6K 1L4",43.6417075708,-79.432192035,"1","Desserts, Ice Cream & Frozen Yogurt, Food, Restaurants, Vegan"
"4",55551,"Veltree","Charlotte","NC","28262",35.29692,-80.75539,"1","Vegan, Soul Food, Restaurants, Food, Juice Bars & Smoothies"
"5",52267,"La Vida Cocoa Craft Bakery & Cafe","Thornhill","ON","L4J 6X3",43.7953286,-79.4347723,"1","Gluten-Free, Food, Bakeries, Restaurants, Vegan, Cafes"
"6",81009,"Si Lom Thai Bistro","Toronto","ON","M4Y",43.6650073,-79.3808111,"1","Thai, Restaurants, Vegan"
"7",75324,"Pastoli's Pizza, Pasta & Paisans","Pittsburgh","PA","15217",40.4358226,-79.9230998,"1","Gluten-Free, Italian, Chicken Wings, Restaurants, Vegan, Pizza, Vegetarian"
"8",69117,"Chino Locos Original","Toronto","ON","M4L 2P4",43.6644821,-79.3255005,"1","Asian Fusion, Vegetarian, Vegan, Mexican, Restaurants"
"9",131558,"Magic Oven","Toronto","ON","M6K 3E4",43.6396613343,-79.4219483696,"0","Pizza, Gluten-Free, Vegan, Restaurants"
"10",171229,"Living Kitchen","Charlotte","NC","28203",35.2090265771,-80.8611555105,"1","Restaurants, Vegan, Live/Raw Food, Vegetarian"
"11",180035,"Nanashake","Toronto","ON","M2N 0J6",43.760058175,-79.412188931,"1","Food, Restaurants, Vegetarian, Ice Cream & Frozen Yogurt, Vegan"
"12",164433,"Whyld Ass","Phoenix","AZ","85014",33.5082255667,-112.0654389911,"1","Restaurants, Vegan"
"13",157273,"Seed Shack","Gilbert","AZ","85234",33.3785337,-111.7490249,"1","Food, Vegan, Restaurants, Juice Bars & Smoothies, Vegetarian"
"14",190125,"Leena's Food","Pittsburgh","PA","15289",40.4418197,-79.9571314,"0","Halal, Vegan, Sandwiches, Vegetarian, Ethnic Food, Greek, Middle Eastern, Restaurants, Specialty Food, Mediterranean, Food"
"15",81747,"Couscous Express","Phoenix","AZ","85006",33.4656279532,-112.0409429446,"0","Moroccan, Vegan, Halal, Mediterranean, Restaurants"
"16",159022,"Real & Yummy Juice","Brampton","ON","L6R 1W4",43.7603206,-79.7298279,"1","Restaurants, Juice Bars & Smoothies, Food, Bubble Tea, Vegan"
"17",23500,"Liquid Nutrition","Montréal","QC","H3H 2M8",45.4957300578,-73.5797433355,"1","Organic Stores, Juice Bars & Smoothies, Food, Vegan, Restaurants"
"18",176519,"Kale","Toronto","ON","M4P 2E6",43.7087974,-79.3987963,"0","Restaurants, Vegan, Vegetarian"
