"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",59949,"Pita Pit","Las Vegas","NV","89183",36.012764,-115.136056,"0","Middle Eastern, Restaurants, Vegetarian, Juice Bars & Smoothies, Ethnic Food, Salad, Food, Sandwiches, Specialty Food"
"2",13760,"Aladdin's Eatery","Mentor","OH","44060",41.6738589,-81.3228213,"1","Ethnic Food, Specialty Food, Food, Restaurants, Vegetarian, Mediterranean, Middle Eastern"
"3",106451,"Tandoori Xpress","Laval","QC","H7G 2E1",45.576182,-73.683505,"1","Restaurants, Vegetarian, Pakistani, Middle Eastern, Indian"
"4",60252,"Cantina Laredo","Westlake","OH","44145",41.4615685424,-81.9513030882,"1","Mexican, Bars, Restaurants, Vegetarian, Nightlife"
"5",159217,"Bombay Bhel","Mississauga","ON","L4Z 3X7",43.6085327517,-79.6535760451,"1","Indian, Halal, Vegetarian, Restaurants"
"6",9957,"Madras Cafe","Calgary","AB","T2A 5H8",51.0526207189,-113.95613131,"1","Indian, Vegetarian, Restaurants"
"7",74660,"Kiva Han","Pittsburgh","PA","15289",40.4445979,-79.9488195,"0","Vegetarian, Restaurants, Food, Coffee & Tea"
"8",75324,"Pastoli's Pizza, Pasta & Paisans","Pittsburgh","PA","15217",40.4358226,-79.9230998,"1","Gluten-Free, Italian, Chicken Wings, Restaurants, Vegan, Pizza, Vegetarian"
"9",11569,"Pita Kitchen - Arrowhead","Glendale","AZ","85308",33.6702064,-112.2004519,"1","Mediterranean, Greek, Restaurants, Vegetarian"
"10",69117,"Chino Locos Original","Toronto","ON","M4L 2P4",43.6644821,-79.3255005,"1","Asian Fusion, Vegetarian, Vegan, Mexican, Restaurants"
"11",68725,"Olives Mediterranean Grill","Phoenix","AZ","85032",33.5993478,-111.9835952,"1","Restaurants, Vegetarian, Mediterranean, Middle Eastern"
"12",46289,"Crux Comptoir","Brossard","QC","J4Y 0L1",45.44659,-73.437164,"1","Juice Bars & Smoothies, Restaurants, Organic Stores, Vegetarian, Salad, Food, Coffee & Tea"
"13",18021,"Cuisine Malaya","Charlotte","NC","28204",35.2154777,-80.8285213,"0","Asian Fusion, Restaurants, Vegetarian, Malaysian, Sushi Bars"
"14",15679,"Monty's Blue Plate Diner","Madison","WI","53704",43.09242,-89.3518969,"1","Restaurants, Vegetarian, Diners, American (Traditional)"
"15",40836,"Tacos N' Ritas","Las Vegas","NV","89109",36.1221998492,-115.1699433706,"1","Vegetarian, Mexican, Food, Restaurants"
"16",171229,"Living Kitchen","Charlotte","NC","28203",35.2090265771,-80.8611555105,"1","Restaurants, Vegan, Live/Raw Food, Vegetarian"
"17",123149,"Mango Thai","Mesa","AZ","85210",33.3880679,-111.841425,"0","Thai, Restaurants, Vegetarian"
