"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",167387,"Mad Crush Wine Bar","Toronto","ON","M6G 1B3",43.6554201,-79.4133518,"0","Restaurants, Breakfast & Brunch, Bars, Modern European, Nightlife, Wine Bars"
"2",72343,"Vintage 95","Chandler","AZ","85225",33.3020931,-111.8426128,"0","American (New), Bars, Wine Bars, Nightlife, Restaurants"
"3",79854,"Bistro Divino","Las Vegas","NV","89102",36.1582642,-115.1579672,"0","Food, Pizza, Wine Bars, Bars, Restaurants, Nightlife"
"4",88804,"Circles Grill and Market","Charlotte","NC","28277",35.0393909574,-80.7950710445,"0","Burgers, Italian, Beauty & Spas, Wine Bars, Barbers, Peruvian, American (Traditional), Bars, Gastropubs, Diners, Salad, Specialty Food, Restaurants, American (New), Nightlife, Cafes, Food"
"5",164561,"Mimi's Cafe","Glendale","AZ","85308",33.6386542,-112.219354,"1","Nightlife, Restaurants, American (Traditional), Wine Bars, Bars, Breakfast & Brunch, French"
"6",80781,"Bomberos Cafe & Wine Bar","Phoenix","AZ","85020",33.5650982,-112.0737503,"0","Nightlife, Latin American, Wine Bars, Restaurants, Bars, Lounges"
"7",171449,"S & V Urban Italian","Scottsdale","AZ","85260",33.5813628,-111.8796351,"1","Nightlife, Bars, Restaurants, Wine Bars, Pizza, Italian"
"8",66452,"Tarbell's The Tavern","Phoenix","AZ","85018",33.5091229429,-112.0126287829,"1","American (Traditional), Lounges, American (New), Mexican, Wine Bars, Restaurants, Nightlife, Bars, Cocktail Bars"
"9",90628,"Swirl Wine Bar","Solon","OH","44139",41.39023,-81.442376,"1","Wine Bars, Nightlife, American (New), Restaurants, Bars, Tapas/Small Plates"
"10",75692,"Bathurst Local","Toronto","ON","M5T 2S3",43.6514918,-79.4058339,"1","Beer, Wine & Spirits, Whiskey Bars, Coffee & Tea, Beer Bar, Breakfast & Brunch, Bars, Cocktail Bars, Food, Cafes, Wine Bars, Restaurants, Local Flavor, Nightlife"
"11",177646,"River Café","Calgary","AB","T2P 0R1",51.0547701109,-114.0714097023,"1","Restaurants, Wine Bars, Cafes, Food, American (New), Local Flavor, Nightlife, Canadian (New), Bars"
"12",182371,"Le Vin Papillon","Montréal","QC","H3J 1N4",45.48277,-73.5754852,"1","Nightlife, Wine Bars, Restaurants, Canadian (New), Bars"
