"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",16100,"PA Wine & Spirits Store","Wexford","PA","15090",40.6320526,-80.0564758,"1","Beer, Wine & Spirits, Food"
"2",87650,"Vince Neil's Tatuado | Eat, Drink, Party","Las Vegas","NV","89169",36.1020497898,-115.1562883,"1","Bars, Sports Bars, Nightlife, Beer, Wine & Spirits, Restaurants, Food, American (Traditional)"
"3",170257,"Arc Bar","Las Vegas","NV","89109",36.1121506,-115.17155,"1","Hotels & Travel, Nightlife, Food, Beer, Wine & Spirits"
"4",44219,"Piggly's At the Fair","Mesa","AZ","85204",33.38449,-111.80411,"0","Food, Beer, Wine & Spirits, Restaurants, Barbeque, Local Flavor, American (Traditional)"
"5",56109,"Carolina Beer Company","Charlotte","NC","28208",35.2205899237,-80.940057576,"1","Local Flavor, Beer, Wine & Spirits, Food"
"6",191469,"Minotti's Wine & Liquor","Rocky River","OH","44116",41.4788179,-81.840142,"1","Beer, Wine & Spirits, Food"
"7",31873,"Uncle Joe's Bar & Grill","Parma Heights","OH","44130",41.394558,-81.783869,"1","Beer Bar, Beer, Wine & Spirits, Restaurants, American (New), Nightlife, Bars, Food"
"8",75692,"Bathurst Local","Toronto","ON","M5T 2S3",43.6514918,-79.4058339,"1","Beer, Wine & Spirits, Whiskey Bars, Coffee & Tea, Beer Bar, Breakfast & Brunch, Bars, Cocktail Bars, Food, Cafes, Wine Bars, Restaurants, Local Flavor, Nightlife"
"9",25777,"Saq","Montreal","QC","H3B 1H4",45.4989869,-73.5734636,"1","Food, Beer, Wine & Spirits"
"10",31059,"Sam's Market & Liquor","Scottsdale","AZ","85257",33.4663854,-111.8934221,"1","Food, Beer, Wine & Spirits, Shopping, Tobacco Shops"
"11",129478,"Jade Fine Chinese Dining","Phoenix","AZ","85085",33.7971416,-112.1180452,"0","Chinese, Beer, Wine & Spirits, Restaurants, Food"
"12",183677,"Jones Market & Deli","Las Vegas","NV","89146",36.1274446,-115.2250141,"0","Grocery, Food, Imported Food, Beer, Wine & Spirits"
"13",61008,"Assorted Table Wine Shoppe","Charlotte","NC","28202",35.2273295255,-80.838524611,"1","Food, Arts & Entertainment, Beer, Wine & Spirits, Wineries"
"14",78516,"Ohio Liquor Agency","Painesville","OH","44077",41.7242327,-81.2402355,"1","Beer, Wine & Spirits, Food"
"15",24476,"Lake Town Tavern","Cornelius","NC","28031",35.4631169,-80.8887062,"1","Nightlife, Food, Beer, Wine & Spirits, Burgers, Restaurants, American (Traditional), Chicken Wings, Arts & Entertainment, Music Venues, Pubs, Sports Bars, Bars"
